"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
"false","true","https://pbs.twimg.com/profile_banners/777472984160333828/1494443106","Sun Sep 18 11:42:58 +0000 2016","No one important. Mostly angry. She/Her.",,,,,,"0","44771","755","86","true","777472984160333828","false","false","false","Boston (no not that one)","144","Rachel Mann","1420001481432961042","false","https://pbs.twimg.com/profile_images/862382457135529986/AP29SUzF_normal.jpg","","202803","https://twitter.com/RachelMann123","user","https://x.com/RachelMann123","RachelMann123","@SopanDeb Let's hope that whether Trump loses or not, there is an official investigation into his foundation and also links to Russia.","Sat Oct 22 16:35:58 +0000 2016"
"false","false","https://pbs.twimg.com/profile_banners/119709056/1364052441","Thu Mar 04 12:10:44 +0000 2010","Totally against ignorant, misognistic GOP politicians who want to abolish Medicare, Social Security, Obamacare, Women's Rights & Veterans Benefits!  #UniteBlue",,,,,,"0","270","733","1137","false","119709056","false","false","false","God's Country, Minnesota","97","Pete Rutten",,"false","https://pbs.twimg.com/profile_images/489143348448350208/f9uz51cn_normal.jpeg","","15103","https://twitter.com/Repete_Smile","user","https://x.com/Repete_Smile","Repete_Smile","An Investigation Just Found Trump Has Hundreds Of Businesses In Russia - https://t.co/6QftUxuJ3Y","Sat Oct 22 15:26:10 +0000 2016"
"false","true","https://pbs.twimg.com/profile_banners/738746746659033089/1615325008","Fri Jun 03 14:58:44 +0000 2016","this planet is run by primates.","zombo.com","http://zombo.com","0","23","https://t.co/bLZv4PCufO","0","178905","236","62","true","738746746659033089","false","false","false","","789","ApeAge","1629303199172644870","false","https://pbs.twimg.com/profile_images/1843694812895027200/AcvE4O0z_normal.jpg","","13186","https://twitter.com/Dongkey_kong","user","https://x.com/Dongkey_kong","Dongkey_kong","@georgesoros Stop meddling in the U.S Election.","Sat Oct 22 22:54:58 +0000 2016"
"false","false","https://pbs.twimg.com/profile_banners/2350842762/1398899599","Wed Feb 19 00:03:39 +0000 2014","Cdn Painter, Poet, Political/Space Junkie, Cyclist, Foodie, Hydroponic Green Thumb. Cold weather builds character.
If you're an Idiot -Don't. Even. Bother.",,,,,,"0","49542","1764","2016","true","2350842762","false","false","false","Ontari-ari-ari-O... Canadians are awesome","928","JTerri","1667519373089677313","false","https://pbs.twimg.com/profile_images/1619148693399109633/ePVwDNhL_normal.jpg","","128748","https://twitter.com/bohemianww","user","https://x.com/bohemianww","bohemianww","Yes, and there has to be a higher purpose for meddling in US election than hatred of leading female candidate -aka misogyny.","Sat Oct 22 21:20:41 +0000 2016"
"true","false",,"Fri Feb 27 01:51:04 +0000 2009","""Trump  liar in CHIEF,.I am  GOD, screwing people,  that 99.99% unfit to be in their CABINET""",,,,,,"0","1101","1247","1575","false","22093372","false","false","false","TEXAS, USA","540","Grayghost",,"false","https://pbs.twimg.com/profile_images/890936854140166146/VImgyMpy_normal.jpg","","47544","https://twitter.com/ONE4137","user","https://x.com/ONE4137","ONE4137","Philippines leader calls US envoy ‘gay’ for ‘meddling’ in election | South China Morning Post https://t.co/teBXzi1VPf via @SCMP_News","Sat Oct 22 21:11:32 +0000 2016"
"true","false","https://pbs.twimg.com/profile_banners/730044281629638658/1583835960","Tue May 10 14:38:15 +0000 2016","",,,,,,"0","809","37","103","true","730044281629638658","false","false","false","United States","15","Kelly",,"false","https://pbs.twimg.com/profile_images/730052754270498816/m8Ntw7my_normal.jpg","","1855","https://twitter.com/PoliticalRaven","user","https://x.com/PoliticalRaven","PoliticalRaven","@MonicaCrowley @realDonaldTrump @WashTimes Hey Monica, maybe you can mention US meddling in BB Israeli election?  Not so diff as HRC Putin?","Sat Oct 22 18:52:52 +0000 2016"
"false","true",,"Fri Jul 23 13:34:56 +0000 2010","Ecuador travel news, galapagos and mountains","travel-trick.com","http://www.travel-trick.com","0","22","http://t.co/W6qAL1u2tN","0","0","1509","158","false","169911011","false","false","false","","9","Ecuador Travel News",,"false","https://pbs.twimg.com/profile_images/1084355385/ecua-dor_normal.jpg","","27615","https://twitter.com/ecuador_travels","user","https://x.com/ecuador_travels","ecuador_travels","Ecuador restricted WikiLeaks internet over election meddling - POLITICO.eu https://t.co/UBdMiiM5Vs","Sat Oct 22 18:48:04 +0000 2016"
"true","false","https://pbs.twimg.com/profile_banners/80371315/1694115152","Tue Oct 06 18:36:24 +0000 2009","🇺🇸 🇲🇽 🇫🇷 🇧🇷🇩🇪",,,,,,"0","20351","626","4334","true","80371315","false","false","false","Texas, USA","639","Ιβάν Σάντσεζ",,"false","https://pbs.twimg.com/profile_images/1825792953916469253/k52OrH3-_normal.jpg","","4107","https://twitter.com/IvanOfTheSun","user","https://x.com/IvanOfTheSun","IvanOfTheSun","@hpygoluki @HillaryClinton Thank you for the evidence. If only #Russia wasn't doctoring it and meddling in our Presidential election. https://t.co/rCafHZWMQv","Sat Oct 22 18:25:32 +0000 2016"
"false","true",,"Sat Feb 21 19:46:30 +0000 2009","giving you videos of recent news events. will tweet one every 15 minutes.","wingie.github.io","http://wingie.github.io","0","22","http://t.co/JMkhHisEtX","0","15","1301","1305","false","21511099","false","false","false","bangalore","9","WingzTV",,"false","https://pbs.twimg.com/profile_images/3537672406/190f79c88052bd5078e91796fd0fffe1_normal.jpeg","","219480","https://twitter.com/realnewsvideos","user","https://x.com/realnewsvideos","realnewsvideos","#Ecuador #admits restricting internet access WikiLeaks over #election meddling https://t.co/z8VjsZ0psq","Sat Oct 22 18:20:03 +0000 2016"
"false","true","https://pbs.twimg.com/profile_banners/2185190036/1413537610","Sat Nov 09 23:04:34 +0000 2013","How they cast Jay as the new Magnum PI when I was like totally available is crazy.

Truth, decency, and democracy.

🇺🇸 🇺🇦 🇨🇦 🇮🇱",,,,,,"0","210258","2695","3131","true","2185190036","false","false","false","Los Angeles, CA","3962","MMcConnell","1844123376199377008","false","https://pbs.twimg.com/profile_images/1817523671059329025/5qnIDTJ2_normal.jpg","","197438","https://twitter.com/mattlogical","user","https://x.com/mattlogical","mattlogical","@blaine756 @ybbkaren @ARM1976 @HillaryClinton im itching to see party of tough guys stand up against meddling in US election.","Sat Oct 22 17:43:37 +0000 2016"
