"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/longDescription/entities/0/fromIndex","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/__typename","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/legacy/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/rest_id","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/type","author/affiliatesHighlightedLabel/label/longDescription/entities/0/toIndex","author/affiliatesHighlightedLabel/label/longDescription/text","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/28602352/1400517842","Fri Apr 03 16:52:50 +0000 2009","Author of five books, My Grandmother’s Shakespeare, The Self-esteem Journal, PC Cooks!, Life Coach/Christ Coach & 6 Degrees of Film.",,,,,,,,,,,"6degreeswriter.com","https://6degreeswriter.com/","0","23","https://t.co/XBh8zyBe8M","0","87823","694","1485","true","28602352","false","false","false","Tampa, FL","234","Mary Lee Johnson","1852501502809547245","false","https://pbs.twimg.com/profile_images/468432132562374656/0Y4PvHwp_normal.png","","133625","https://twitter.com/mljtpa","user","https://x.com/mljtpa","mljtpa","Journalists Blast The FBI For Meddling In 2016 Election https://t.co/WwV69h2ML1","Sat Nov 05 22:27:35 +0000 2016"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/455247152/1701507861","Wed Jan 04 22:15:41 +0000 2012","Director In Search of Darkness ‘90s/ @80sHorrorDoc trilogy/@80sSciFiDoc;@AliensExpanded EP;@ItCameFromBlog; fmr @FamousMonsters Editor;@HeatVisionBlog scribe🖖",,,,,,,,,,,"davidweiner.bio.link","http://davidweiner.bio.link","0","23","https://t.co/21lc1V7Dk0","0","270408","8038","850","true","455247152","false","false","false","FILMLAND","15736","David Weiner 📼🔪🎃🛸","1856254283551064384","false","https://pbs.twimg.com/profile_images/1665252428688797696/uHY6qQuB_normal.jpg","","43942","https://twitter.com/TikiAmbassador","user","https://x.com/TikiAmbassador","TikiAmbassador","""I would've gotten away with a rigged election and a fascist state if it wasn't for you meddling kids!"" #DumpTrump #Election2016 https://t.co/Smm3gKr63R","Sat Nov 05 22:20:41 +0000 2016"
,,,,,,,,,,,"true","true","https://pbs.twimg.com/profile_banners/704094904595705857/1504637364","Mon Feb 29 00:04:41 +0000 2016","waterboard Obama 💯",,,,,,,,,,,,,,,,"0","56826","551","553","false","704094904595705857","false","false","false","Texas, USA","4677","Dustin","929538102841966593","false","https://pbs.twimg.com/profile_images/1084270600846221312/WTZMurut_normal.jpg","","55981","https://twitter.com/DustinJ601","user","https://x.com/DustinJ601","DustinJ601","@spaydl @tripgabriel @nytimes aka the desperate last arm of the Clinton campaign backed by the failed president who is meddling in election?","Sat Nov 05 22:10:56 +0000 2016"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1120879074/1518806796","Sat Jan 26 03:51:59 +0000 2013","Don’t Mourn ★ Organize
Find me at: https://t.co/xOa4IGOmYP","bsky.app/profile/americ…","https://bsky.app/profile/americantimes.bsky.social","35","58","https://t.co/xOa4IGOmYP",,,,,,"americantimesfilm.com","http://americantimesfilm.com/","0","23","https://t.co/bzPSbf9vmZ","0","103064","89362","75792","true","1120879074","false","false","false","Colorado","2851","American Times ★ Docuseries",,"false","https://pbs.twimg.com/profile_images/983365386073653248/pcQGhIUc_normal.jpg","","47765","https://twitter.com/ExportedFromMI","user","https://x.com/ExportedFromMI","ExportedFromMI","@kurteichenwald Or rationalizing the fact that 17 intel agencies confirm meddling in the election on Trump's behalf? Not Reagan Bush era GOP","Sat Nov 05 21:43:49 +0000 2016"
,,,,,,,,,,,"false","false","https://pbs.twimg.com/profile_banners/2193206563/1703888121","Thu Nov 14 00:29:33 +0000 2013","Credentialed Debunker : One Among Several Leaders Of Our National Security Community #bücketstrong",,,,,,,,,,,,,,,,"0","184539","1582","1133","true","2193206563","false","false","false","away from office ","7279","🅱️ücket","1821521738867323219","false","https://pbs.twimg.com/profile_images/1740858972146466816/e0lSJpvz_normal.jpg","","166507","https://twitter.com/BuucketHe4d","user","https://x.com/BuucketHe4d","BuucketHe4d","It's becoming clearer the FBI is in fact, meddling w this election. Thankfully the IRS has is above such vile behavior.","Sat Nov 05 21:25:41 +0000 2016"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/20651199/1732472573","Thu Feb 12 03:25:23 +0000 2009","Project manager, photographer, and observer of the world. Opinions are my own; likes are not endorsements. @jlfanson.bsky.social",,,,,,,,,,,,,,,,"0","12691","427","987","true","20651199","false","false","false","Los Angeles","5105","Ｊａｍｅｓ　Ｆａｎｓｏｎ","1119269597436239875","false","https://pbs.twimg.com/profile_images/1860750907119378432/5SgZj9U4_normal.jpg","","15027","https://twitter.com/jfanson","user","https://x.com/jfanson","jfanson","Clinton favored to win election but faces 3 unusual hurdles:

1. Voter suppression &amp; intimidation 
2. Russian cyber-mischief
3. FBI meddling","Sat Nov 05 21:00:51 +0000 2016"
,,,,,,,,,,,"false","true",,"Wed Jun 10 15:10:10 +0000 2009","",,,,,,,,,,,,,,,,"0","1100560","971","1608","true","46133399","false","false","false","","5975","cameron glenn",,"false","https://pbs.twimg.com/profile_images/1366238076838629376/zSOm73op_normal.jpg","","72735","https://twitter.com/jetsjets","user","https://x.com/jetsjets","jetsjets","@USATODAY He's so ""outside"" he has old-timey FBI goons illegally meddling in the election on his behalf.","Sat Nov 05 20:40:59 +0000 2016"
,,,,,,,,,,,"true","false","https://pbs.twimg.com/profile_banners/245424983/1731978146","Mon Jan 31 17:30:51 +0000 2011","AFT Prez.. Fighting 4 kids & communities, democracy, public ed & healthcare & freedom 4 all. Wife of @Skleinbaum. On threads @randiweingarten",,,,,,,,,,,"aft.org","http://www.aft.org","0","23","https://t.co/gs9ktwO2JI","0","4867","119325","5414","true","245424983","true","false","false","Washington, DC","10223","Randi Weingarten 🇺🇸💪🏿👩‍🎓🟣","1862613437911626031","false","https://pbs.twimg.com/profile_images/1618712426777829377/JIj9bXWo_normal.jpg","","224587","https://twitter.com/rweingarten","user","https://x.com/rweingarten","rweingarten","""Can anyone control the FBI?” @postopinions eviscerates the FBI’s meddling in the election. https://t.co/VofOov7FVl","Sat Nov 05 20:37:50 +0000 2016"
,,,,,,,,,,,"true","false","https://pbs.twimg.com/profile_banners/445406535/1503028072","Sat Dec 24 10:57:49 +0000 2011","Retired Commodity Manager, God Chaser, In Pursuit of Justice",,,,,,,,,,,,,,,,"0","43228","708","757","true","445406535","false","false","false","","2118","Debra Dorris",,"false","https://pbs.twimg.com/profile_images/898390960102440960/WRi1WNQ5_normal.jpg","","203856","https://twitter.com/praze2him","user","https://x.com/praze2him","praze2him","It Sure Looks Like Rogue FBI Agents Are Meddling In The Election https://t.co/QjkHJlz8q1","Sat Nov 05 20:06:55 +0000 2016"
,,,,,,,,,,,"false","false","https://pbs.twimg.com/profile_banners/1036619071/1385046656","Wed Dec 26 08:07:20 +0000 2012","❤️: 🦔🐦🦋🐞🐝🌺🍸🍷🎶

Cie to Shining Cie - AKA courtesy of @wapplehouse

She/her",,,,,,,,,,,,,,,,"0","76752","655","188","false","1036619071","false","false","false","","3587","Cie","1575187346756337664","false","https://pbs.twimg.com/profile_images/1145248071028264962/cFxe5LcF_normal.jpg","","45100","https://twitter.com/Cie2ShiningCie","user","https://x.com/Cie2ShiningCie","Cie2ShiningCie","The FBI has been caught meddling in the election. Sign the petition, tell FBI Director Comey to resign: https://t.co/5GlkcB6Mzy #ResignComey","Sat Nov 05 18:58:01 +0000 2016"
