"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/longDescription/entities/0/fromIndex","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/__typename","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/legacy/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/rest_id","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/type","author/affiliatesHighlightedLabel/label/longDescription/entities/0/toIndex","author/affiliatesHighlightedLabel/label/longDescription/text","author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/341587981/1644098139","Sun Jul 24 16:25:37 +0000 2011","Capitalist, conservative but not a far right wingnut. I am usually sarcastic. I love humor. #ProIsrael. #ProLife #2nd Amendment. Okie",,,,,,,,,,,"0","123049","5113","1839","true","341587981","true","false","false","Near OKC","15494","Kris Kinder","1857577925345706281","false","https://pbs.twimg.com/profile_images/1661085033191415808/T8-8M1Y2_normal.jpg","","436817","https://twitter.com/kris_kinder","user","https://x.com/kris_kinder","kris_kinder",,"So now we have at  agents that were obviously partisan &amp; one that was involved in Hilary’s email investigation, Trump/Russia investigation, &amp; Mueller’s investigation. Wow, how is one guy able to be involved in all that? Beside his partisanship, that question needs answered. 2/2","Thu Dec 14 23:58:25 +0000 2017"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/830282637285666816/1591763934","Sat Feb 11 05:09:41 +0000 2017","Oklahoman. nasty woman. seeker of facts. science believer. fighter for justice and equality.",,,,,,,,,,,"0","2088","97","533","false","830282637285666816","false","false","false","United States","269","Juless","1572767394795343873","false","https://pbs.twimg.com/profile_images/1270576146409836545/Gp0FheXf_normal.jpg","","4281","https://twitter.com/borntopersist","user","https://x.com/borntopersist","borntopersist",,"@FoxNews @kimguilfoyle @FBI Are we all forgetting that Comey actually did tip the scale of the ELECTION? And it was in Trump’s favor! Nothing done during the Russia investigation changes what the Trump campaign did during the election! #LockHimUp","Thu Dec 14 23:56:52 +0000 2017"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/828462375829401600/1645376783","Mon Feb 06 04:36:37 +0000 2017","The Howard Stern Show's #1 SuperFan with or without hair- Case Closed! = Bobo Out! No Shit FB💯 Welcome 2 da #BoboNation",,,,,,"Howardstern.com","http://www.Howardstern.com","0","23","https://t.co/PhS3qDzH2Q","0","49794","11865","12993","true","828462375829401600","false","false","false","Florida, NYC & NC","1009","Stern Show BoBo",,"false","https://pbs.twimg.com/profile_images/1518730983582932994/GwYzxsSM_normal.jpg","","6395","https://twitter.com/Stern_Show_BoBo","user","https://x.com/Stern_Show_BoBo","Stern_Show_BoBo",,"@RepMarkWalker @GOPoversight Mr Walker your party just funded and endorsed a pedophile for a Senate Seat... and you continue to support the corrupt Trump family from a true investigation of their ties to Russia.  Do You support Moore?  Do you support the GOP protecting Russian election rigging? https://t.co/rDn1A2NZrM","Thu Dec 14 23:50:45 +0000 2017"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/228668143/1679994266","Mon Dec 20 10:28:20 +0000 2010","My pieces consist of paintings, drawings and graphically striking images. Being self-taught has given me the freedom to experiment with all types of mediums.",,,,,,"artifyvibes.com","https://www.artifyvibes.com","0","23","https://t.co/yDQC7854bP","0","1423","14196","18361","true","228668143","false","false","false","Auckland New Zealand ","3492","Artify Vibes","1120665083015643138","false","https://pbs.twimg.com/profile_images/1765290630232850432/bYh162eO_normal.jpg","","52991","https://twitter.com/artifyvibes","user","https://x.com/artifyvibes","artifyvibes",,"FBI agent removed from Russia investigation called Trump an 'idiot' https://t.co/N9NsmtAapR","Thu Dec 14 23:46:38 +0000 2017"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/821091960597295104/1681263945","Mon Jan 16 20:29:13 +0000 2017","President Trump Coin ($PRES) is world's first cryptocurrency partnered with a federally registered political action committee to Make America Great Again.",,,,,,"prestrumpcoin.com","https://prestrumpcoin.com/","0","23","https://t.co/cReuO9I7MI","0","34","383","18","false","821091960597295104","false","false","false","USA","7","President Trump Coin",,"false","https://pbs.twimg.com/profile_images/1645966395551932416/c-wgTEOj_normal.png","","26247","https://twitter.com/Pres_Coin","user","https://x.com/Pres_Coin","Pres_Coin",,"FBI agents involved in Russia investigation called Donald Trump an 'idiot' - The Independent https://t.co/dxrGtb6j6n","Thu Dec 14 23:45:36 +0000 2017"
,,,,,,,,,,,,,,"true","false","https://pbs.twimg.com/profile_banners/1083362598/1470503931","Sat Jan 12 15:58:12 +0000 2013","Ret. USNavy🇺🇸 wife, mom of 2 brilliant college grads, In God we trust✝⚓️🇺🇸FOLLOW ME🇺🇸⚓️",,,,,,,,,,,"0","3135","57","353","false","1083362598","false","false","false","Florida, USA","435","DNewkirk 🦂","1166755199144398848","false","https://pbs.twimg.com/profile_images/1324919159726239745/h1p1kYhf_normal.jpg","","3647","https://twitter.com/D_Newk","user","https://x.com/D_Newk","D_Newk",,"@maddow @TheBeatWithAri @RepSwalwell @ananavarro So Trump spoke to Putin by phone today...Can the phone log be pulled? He’s probably trying to get Putin to mess with critical up coming elections. With the active Russia investigation, how is he allowed to call whenever?!","Thu Dec 14 23:39:49 +0000 2017"
,,,,,,,,,,,,,,"true","true","https://pbs.twimg.com/profile_banners/930567708860731392/1512325819","Tue Nov 14 22:46:45 +0000 2017","Christian, Trump Supporter, Proud to be White Military,  Followed by realdonaldtrump, GenFlynn #NRA #MAGA #Lockherup #Termlimitsnow #Buildthatwall, #TrumpTrain",,,,,,,,,,,"0","2050","1106","1923","true","930567708860731392","false","false","false","Ohio, USA","28","Ralph Plankton",,"false","https://pbs.twimg.com/profile_images/937388741647269889/g1HDzqXZ_normal.jpg","","1633","https://twitter.com/RalphPlankton","user","https://x.com/RalphPlankton","RalphPlankton",,"I dont understand how were 1 yr into an investigation over something that does not exist ""Trump/Russia""  when we have HRC dead to rights in a dozen serious felonies and no one is doing a damn thing!!! why cant she be put on trial as easy as the special council for our Pres??????","Thu Dec 14 23:38:31 +0000 2017"
,,,,,,,,,,,,,,"false","false","https://pbs.twimg.com/profile_banners/47026391/1490227151","Sun Jun 14 03:44:56 +0000 2009","""None but ourselves can free our minds."" Bob Marley. “. “Truth is truth. I don’t care who offend when the truth speak.” Bob Marley. My opinions are my own",,,,,,,,,,,"0","38505","1205","1321","true","47026391","false","false","false","","2908","Daniel Lederman",,"false","https://pbs.twimg.com/profile_images/818845068266246145/JNrbNGWM_normal.jpg","","42550","https://twitter.com/Ledermand","user","https://x.com/Ledermand","Ledermand",,"@SteelToeTruth It is starting to look like the entire Republican caucus has a hand in Russia’s collusion. They would be better off without trump in WH &amp; they know it. So if they aren’t in collusion with Russia why stop the Mueller investigation.","Thu Dec 14 23:36:25 +0000 2017"
,,,,,,,,,,,,,,"true","false","https://pbs.twimg.com/profile_banners/24046940/1595186156","Thu Mar 12 21:51:03 +0000 2009","Married, love my husband & our 2 rescue dogs. I love  animals of any kind. support LGBTQ #TheResistance #RescueDogs #SaveAmerica #TrumpLeaks #NoWall NO LISTS",,,,,,,,,,,"0","73352","1983","2609","true","24046940","false","false","false","Delaware","6240","Karen C. 🇺🇸🏳️‍🌈 🆘k B C","1046090004861259776","false","https://pbs.twimg.com/profile_images/1539677796041097222/hi_qlLVP_normal.jpg","","63518","https://twitter.com/MyDogsHateTrump","user","https://x.com/MyDogsHateTrump","MyDogsHateTrump",,"So Ryan must have had some harassment issues or trying to get out hoping the Russia investigation doesn’t bite him in the ass. https://t.co/1JzzXbACGy","Thu Dec 14 23:33:59 +0000 2017"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/228668143/1679994266","Mon Dec 20 10:28:20 +0000 2010","My pieces consist of paintings, drawings and graphically striking images. Being self-taught has given me the freedom to experiment with all types of mediums.",,,,,,"artifyvibes.com","https://www.artifyvibes.com","0","23","https://t.co/yDQC7854bP","0","1423","14196","18361","true","228668143","false","false","false","Auckland New Zealand ","3492","Artify Vibes","1120665083015643138","false","https://pbs.twimg.com/profile_images/1765290630232850432/bYh162eO_normal.jpg","","52991","https://twitter.com/artifyvibes","user","https://x.com/artifyvibes","artifyvibes",,"FBI agents involved in Russia investigation called Donald Trump an 'idiot' https://t.co/39M9GBiTG3","Thu Dec 14 23:25:41 +0000 2017"
