"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1173756973/1479265009","Wed Feb 13 03:17:12 +0000 2013","Mom, American, Democrat I could not be a Republican because I respect science, have compassion for those less fortunate, and hate war!
🌊 #TheResistance #resist",,,,,,,,,,,,,,,,"0","29655","3620","3980","true","1173756973","false","false","false","Philadelphia Pa","393","Lucy supports Dems with an F rating from the NRA","1239713953862778880","false","https://pbs.twimg.com/profile_images/1194215330979155968/pHOcQlf7_normal.jpg","","45889","https://twitter.com/lucydog93","user","https://x.com/lucydog93","lucydog93",,"3 more months of the Mueller investigation? Papadopoulos filing signals it's likely @CNNPolitics https://t.co/gbGa431hGo","Wed Jan 17 23:59:38 +0000 2018"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/504893013/1491430382","Sun Feb 26 19:33:35 +0000 2012","still alive.",,,,,,,,,,,,,,,,"0","217582","642","239","true","504893013","false","false","false","Austin, TX, y'all","887","The Honourable Bozo Baxter",,"false","https://pbs.twimg.com/profile_images/2413874286/fg1dc0oapw2ra4o22ec7_normal.jpeg","","243318","https://twitter.com/bozobaxter","user","https://x.com/bozobaxter","bozobaxter",,"Steve Bannon said to be ready to cooperate with special counsel Robert Mueller's investigation https://t.co/1fvk8xwXp9","Wed Jan 17 23:58:40 +0000 2018"
,,,,,,"true","true","https://pbs.twimg.com/profile_banners/778717194972561409/1490277872","Wed Sep 21 22:07:02 +0000 2016","I’am a professional Artist, I love Animals, nature, and I'm also into politics, and, I also build🚁and fly✈️R.C. Helicopters🚁and Jets-they're are my thing.",,,,,,,,,,,,,,,,"0","115483","825","3938","false","778717194972561409","false","false","false","Miami, FL","3086","David🇵🇷Vazquez","790657664074350596","false","https://pbs.twimg.com/profile_images/1065322639202369537/qQH_X80m_normal.jpg","","91070","https://twitter.com/DavidVazquezASS","user","https://x.com/DavidVazquezASS","DavidVazquezASS",,"I’d advise anyone who is sort of on the fence about this president and about the Mueller investigation. This video is not a “SLAM DUNK” because WE ( Americans ) only know but just a FRACTION of that investigation. Mr. Mueller is doing an EXTRAORDINARY and an AMAZING JOB. BELIEVE https://t.co/9NgXNP9oUz","Wed Jan 17 23:58:37 +0000 2018"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/373033271/1518003088","Tue Sep 13 21:36:35 +0000 2011","Christian Conservative Independent Vet. proudly supporting our US Military/Vets, Border Patrol, Police. Stay Informed or get hit by Drive-By Media #MAGA #2A NRA",,,,,,,,,,,"twitter.com","https://www.twitter.com","0","23","https://t.co/Iv0jIMxhkH","0","323944","9555","10068","false","373033271","true","false","false","Puget Sound, WA","87064","† Crusader","1812496369728569592","false","https://pbs.twimg.com/profile_images/1614433615181398018/R6nyE-ri_normal.jpg","","436714","https://twitter.com/Wil_Johnson1","user","https://x.com/Wil_Johnson1","Wil_Johnson1",,"Associated Press Assists Mueller in Manafort Investigation https://t.co/yP4Im3fLaY https://t.co/lTEfcpHP7L","Wed Jan 17 23:58:17 +0000 2018"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/504893013/1491430382","Sun Feb 26 19:33:35 +0000 2012","still alive.",,,,,,,,,,,,,,,,"0","217582","642","239","true","504893013","false","false","false","Austin, TX, y'all","887","The Honourable Bozo Baxter",,"false","https://pbs.twimg.com/profile_images/2413874286/fg1dc0oapw2ra4o22ec7_normal.jpeg","","243318","https://twitter.com/bozobaxter","user","https://x.com/bozobaxter","bozobaxter",,"3 more months of the Mueller investigation? Papadopoulos filing signals it's likely https://t.co/TFKB3QNyK8","Wed Jan 17 23:56:28 +0000 2018"
,,,,,,"false","false",,"Thu Oct 13 19:27:29 +0000 2011","",,,,,,,,,,,,,,,,"0","33390","1083","2501","false","390299215","false","false","false","Southwest Desert of The U. S.","1323","Sharon Ann",,"false","https://pbs.twimg.com/profile_images/826464429264867331/gAN4zngh_normal.jpg","","66338","https://twitter.com/SharonGilman","user","https://x.com/SharonGilman","SharonGilman",,"3 more months of the Mueller investigation? Papadopoulos filing signals it's likely https://t.co/xvcpU6Ankz via @yahoo","Wed Jan 17 23:56:03 +0000 2018"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/32283017/1479221761","Fri Apr 17 03:17:24 +0000 2009","Husband, Retired Pediatrician, Berkeley Grad. I Resist, I Persist. Addicted to Twitter. Here to the bitter end.",,,,,,,,,,,,,,,,"0","414982","31501","26760","true","32283017","false","false","false","Southern California","63609","Michael F Ozaki MD",,"false","https://pbs.twimg.com/profile_images/1665024685086765057/szlkobZo_normal.jpg","","1003309","https://twitter.com/brontyman","user","https://x.com/brontyman","brontyman",,"3 more months of the Mueller investigation? Papadopoulos filing signals it's likely @CNNPolitics https://t.co/TqQVOuqZLg","Wed Jan 17 23:55:41 +0000 2018"
,,,,,,"false","true",,"Wed Jul 26 20:23:32 +0000 2017","Lifestyle & Culture Beauty.
MAGAT'S, Trolls, BOTS, automatically blocked.",,,,,,,,,,,,,,,,"0","17473","1833","671","true","890306613785088000","false","false","false","","357","Ilanna Phillips",,"false","https://pbs.twimg.com/profile_images/890340374090203137/_3salrFj_normal.jpg","","554097","https://twitter.com/IlannaPhillips","user","https://x.com/IlannaPhillips","IlannaPhillips",,"@realDonaldTrump Liar and Cheif...DIMWIT DONNY...IS STRESSING..Russian investigation  getting closer..Bannon is cooperating with MUELLER.
DIMWIT DONNY LOSING GROUND..NJ voted in a Dem...
#WORSTPRESIDENTEVER","Wed Jan 17 23:54:31 +0000 2018"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/17217502/1571279615","Thu Nov 06 19:37:35 +0000 2008","I am a blue dot in the state of Texas, a resistor, and as of 3/11/21 I am vaccinated! #Biden/Harris #BetoForGovernor #VoteOutTheGOP. Update. I am now BOOSTED!",,,,,,,,,,,,,,,,"0","96880","13281","14498","true","17217502","false","false","false","Native Texan","1922","gritsladyinTx",,"false","https://pbs.twimg.com/profile_images/961008189549375488/t871dK7Q_normal.jpg","","376308","https://twitter.com/gritslady","user","https://x.com/gritslady","gritslady",,"3 more months of the Mueller investigation? Papadopoulos filing signals it's likely https://t.co/Bun2iXc5WF","Wed Jan 17 23:54:04 +0000 2018"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/422055225/1674781133","Sat Nov 26 19:01:58 +0000 2011","Unmasking Corruption Since 2000.
Author 'Paybacks' 
Psychology, Law, Social Engineering Examiner, Wellness Enthusiast...
also on Tribel Social Network",,,,,,,,,,,,,,,,"0","27585","967","866","true","422055225","false","false","false","@ under a rainbow","1927","Allan Bassett",,"false","https://pbs.twimg.com/profile_images/2303300336/o4biaql630qekdxln1sx_normal.jpeg","","97298","https://twitter.com/AllanBassett1","user","https://x.com/AllanBassett1","AllanBassett1",,"Tainted White House Intel-All, Pushing Trump/Russia Light While Obstructing Scope of Hill Testimony on Trump/Russia.Trump/Nunes Influences Intel Investigation about Trump A Gross Obstruction. Puppets for Trump Scurry in Fear It's Mueller Time! @CNNPolitics https://t.co/0Wwd14QwN0","Wed Jan 17 23:53:54 +0000 2018"
