"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/longDescription/entities/0/fromIndex","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/__typename","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/legacy/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/rest_id","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/type","author/affiliatesHighlightedLabel/label/longDescription/entities/0/toIndex","author/affiliatesHighlightedLabel/label/longDescription/text","author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
,,,,,,,,,,,,,,"false","false","https://pbs.twimg.com/profile_banners/1134292500/1495050133","Wed Jan 30 14:52:51 +0000 2013","US Congress - El Paso",,,,,,,,,,,"fb.com/betoorourketx16","http://fb.com/betoorourketx16","0","23","https://t.co/Qj93LsYeQ4","0","721","190410","275","false","1134292500","false","false","false","El Paso, TX","1041","Rep. Beto O'Rourke",,"false","https://pbs.twimg.com/profile_images/831251094827368452/qkdPRpd__normal.jpg","","4068","https://twitter.com/RepBetoORourke","user","https://x.com/RepBetoORourke","RepBetoORourke",,"Really important Armed Services hearing earlier today with General Curtis Scaparrotti, European Command Commander — questioned him on our response to Russian election meddling and related issues. Watch our full exchange: https://t.co/wiQHytDyEa","Thu Mar 15 23:58:02 +0000 2018"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/329588599/1439512654","Tue Jul 05 09:54:07 +0000 2011","O estado de beatitude, pode ser definido:  livrar-se da miséria inexistente e adquiri a plenitude, sempre, presente.",,,,,,,,,,,,,,,,"0","811","1178","1638","false","329588599","false","false","false","Rio de Janeiro","5040","JoãoCarlos Pavanelli","1063340892675850240","false","https://pbs.twimg.com/profile_images/631853984530178048/qiPtYzMC_normal.jpg","","31183","https://twitter.com/JooPavanelli","user","https://x.com/JooPavanelli","JooPavanelli",,"U.S. imposes new sanctions on Russian entities over 2016 election meddling https://t.co/YgoLoKP3Hc","Thu Mar 15 23:56:06 +0000 2018"
,,,,,,,,,,,,,,"false","true",,"Sun Sep 03 22:42:10 +0000 2017","68 year old political activist and Professional Comic Book Investment and Sales Consultant",,,,,,,,,,,,,,,,"0","18","205","902","false","904474630097952772","false","false","false","Dayton, OH","476","Jay Maybruck",,"false","https://pbs.twimg.com/profile_images/1426599796693995525/FnuwHF37_normal.jpg","","7454","https://twitter.com/jay_maybruck","user","https://x.com/jay_maybruck","jay_maybruck",,"Trump Administration Sanctions Russians for Election Meddling and Cyberattacks https://t.co/XyVgkBq1YK","Thu Mar 15 23:53:42 +0000 2018"
,,,,,,,,,,,,,,"false","true",,"Fri Jan 06 22:22:21 +0000 2012","",,,,,,,,,,,,,,,,"0","90498","409","1296","false","456994306","false","false","false","New York, NY","1215","Conrad Sliv",,"false","https://pbs.twimg.com/profile_images/808112940142526464/Wc_Pb7Fq_normal.jpg","","81695","https://twitter.com/conradsliv","user","https://x.com/conradsliv","conradsliv",,"@seanhannity Witch hunt ? Why did the Trump administration impose sanctions on Russia today for meddling in the 2016 election?","Thu Mar 15 23:53:23 +0000 2018"
,,,,,,,,,,,,,,"false","true",,"Mon Oct 10 19:04:34 +0000 2011","We begin to see that our lack of success is within us and we begin to work on knowing ourselves better....",,,,,,,,,,,"18dmedia.com","http://18dmedia.com","0","23","https://t.co/Mhnf2GAij2","0","53","4930","3476","true","388440415","false","false","false","California","447493","18d.Media",,"false","https://pbs.twimg.com/profile_images/2744357128/b68d5855744ee19a324ffad2e86ebef3_normal.png","","688223","https://twitter.com/18dMedia","user","https://x.com/18dMedia","18dMedia",,"US Sec Defense says has evidence of election meddling https://t.co/ptehvGY2VA #ForexNews https://t.co/TGcjI77lOk","Thu Mar 15 23:51:54 +0000 2018"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/434064748/1410689907","Sun Dec 11 11:13:09 +0000 2011","24/7 News Service focused on FOREX market - warning: lots of tweets; also @JacekWierzbicki",,,,,,,,,,,,,,,,"0","2","1720","160","false","434064748","false","false","false","","1520","BlackCentaurFX",,"false","https://pbs.twimg.com/profile_images/1281546465857490946/DQx0OKkJ_normal.jpg","","1189823","https://twitter.com/BlackCentaurFX","user","https://x.com/BlackCentaurFX","BlackCentaurFX",,"US Sec Defense says has evidence of election meddling https://t.co/DpQWwl6eP1 via ForexLive #forex #fx","Thu Mar 15 23:51:17 +0000 2018"
,,,,,,,,,,,,,,"false","false","https://pbs.twimg.com/profile_banners/19399038/1516891418","Fri Jan 23 15:47:13 +0000 2009","The trusted source for everything in the world of foreign exchange, central banking and economic news. The fastest forex news and analysis.",,,,,,,,,,,"forexlive.com","http://www.forexlive.com","0","23","https://t.co/6Zldp0IJmI","0","8921","422895","1048","true","19399038","true","false","false","Worldwide","17574","ForexLive",,"false","https://pbs.twimg.com/profile_images/378800000833266807/9ed4b5e5bffc2e60da94913d51cbd666_normal.png","","436498","https://twitter.com/ForexLive","user","https://x.com/ForexLive","ForexLive",,"US Sec Defense says has evidence of election meddling https://t.co/QKGCyhTGrd","Thu Mar 15 23:50:58 +0000 2018"
,,,,,,,,,,,,,,"true","true","https://pbs.twimg.com/profile_banners/425620457/1597202378","Thu Dec 01 06:50:08 +0000 2011","🌊🌊 🇺🇦🇺🇦Former US diplomat in Germany and Deputy Attache for China. Counterterrorism and Security expert. #independent",,,,,,,,,,,,,,,,"0","7265","10760","11194","true","425620457","false","false","false","South Carolina, USA","551","Brian","1404609437504094208","false","https://pbs.twimg.com/profile_images/1524128168243777536/gVjeh6Tp_normal.jpg","","7057","https://twitter.com/brianwalston","user","https://x.com/brianwalston","brianwalston",,"@LindseyGrahamSC You may want to let @realDonaldTrump know. He has yet to acknowledge Russia meddling in our election system","Thu Mar 15 23:49:07 +0000 2018"
,,,,,,,,,,,,,,"false","false","https://pbs.twimg.com/profile_banners/1569343098/1561757769","Fri Jul 05 00:28:47 +0000 2013","Immersive Media Producer",,,,,,,,,,,"rachaelnewport.com","http://www.rachaelnewport.com","0","23","https://t.co/MZmCdd5na2","0","387","976","521","false","1569343098","false","false","false","Mexico","408","Rachael Newport",,"false","https://pbs.twimg.com/profile_images/1614746393360433158/I6tePA4V_normal.jpg","","881","https://twitter.com/Rachael_Newport","user","https://x.com/Rachael_Newport","Rachael_Newport",,"So looking forward to speaking to @JohnWight1 about Sunday´s Russian elections on From The South with @telesurenglish ... tune in to hear about U.S. election meddling, what´s Russian´s really care about and the West´s anti-Russian propaganda mission on the show ...","Thu Mar 15 23:41:19 +0000 2018"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/924515652517347328/1520127253","Sun Oct 29 05:58:02 +0000 2017","I care!",,,,,,,,,,,,,,,,"0","99790","3284","4913","true","924515652517347328","false","false","false","North Carolina, USA","1791","Chess Life Master",,"false","https://pbs.twimg.com/profile_images/970110358986936320/msOEgcNV_normal.jpg","","85616","https://twitter.com/ChessLifeMaster","user","https://x.com/ChessLifeMaster","ChessLifeMaster",,"LMAO!!! I GUESS REPUBLICANS ON THE HOUSE INTELLIGENCE COMMITTEE ARE WRONG! BENEDICT DONALD FINALLY IMPLEMENTED SANCTIONS FOR THE 2016-ELECTION MEDDLING!! Republicans fear they botched Russia report rollout https://t.co/yBfze1Jz5n via @politico","Thu Mar 15 23:34:41 +0000 2018"
