"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/description/urls/2/display_url","author/entities/description/urls/2/expanded_url","author/entities/description/urls/2/indices/0","author/entities/description/urls/2/indices/1","author/entities/description/urls/2/url","author/entities/description/urls/3/display_url","author/entities/description/urls/3/expanded_url","author/entities/description/urls/3/indices/0","author/entities/description/urls/3/indices/1","author/entities/description/urls/3/url","author/entities/description/urls/4/display_url","author/entities/description/urls/4/expanded_url","author/entities/description/urls/4/indices/0","author/entities/description/urls/4/indices/1","author/entities/description/urls/4/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
"false","true",,"Fri Jul 31 00:58:21 +0000 2009","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","48","85","479","false","61649073","false","false","false","","108","DEL PARRA",,"false","https://pbs.twimg.com/profile_images/758682307045851136/z_uu35Ra_normal.jpg","","12165","https://twitter.com/delparra","user","https://x.com/delparra","delparra",,"Trump keeps appointing Republicans to oversee the Russia investigation and it keeps backfiring: https://t.co/qap8IZClAZ via @slate","Tue Apr 10 23:51:42 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/109470534/1587774173","Fri Jan 29 04:32:05 +0000 2010","Here for my favorite female rappers Lil Kim and Missy. I love Britney Spears, Rihanna, Lady Gaga, and Adele !! Missy Elliott and Lil Kim are following me!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","185686","4611","5547","false","109470534","false","false","false","","13620","solider 1 lil kim","1565442286263173120","false","https://pbs.twimg.com/profile_images/1253841872130359296/OBn10vy7_normal.jpg","","382214","https://twitter.com/LilTeamkimlisa","user","https://x.com/LilTeamkimlisa","LilTeamkimlisa",,"Somebody needs to put an ethical complaint on @DevinNunes because he was apart of trump’s transition team and shouldn’t be anywhere near the Russia investigation!","Tue Apr 10 23:50:27 +0000 2018"
"true","true","https://pbs.twimg.com/profile_banners/309705905/1725489241","Thu Jun 02 14:47:53 +0000 2011","Jurist—Catalan Parliament and Spanish Judiciary Council’s former member—Writes in @businessinsider—@ctxt_es—@myfairobserver—@Jerusalem_Post—@htTweets—@trtworld",,,,,,,,,,,,,,,,,,,,,,,,,,"facebook.com/alfonslopeztena","https://www.facebook.com/alfonslopeztena","0","23","https://t.co/9BKUZX9dv5","0","11145","196124","8114","true","309705905","true","false","false","Catalonia","35901","Alfons López Tena 🦇","1274380322629656577","false","https://pbs.twimg.com/profile_images/1829642692914982913/vFP7dSFu_normal.jpg","","209806","https://twitter.com/alfonslopeztena","user","https://x.com/alfonslopeztena","alfonslopeztena",,"Even if the evidence seized from Trump’s attorney Cohen was sought for a different investigation, if federal prosecutors uncover evidence related to the Russia inquiry, Mueller will get it—a search warrant where the stakes couldn’t possibly get any higher.
https://t.co/r62McXujNV","Tue Apr 10 23:49:38 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/4785836575/1730931984","Tue Jan 19 22:28:10 +0000 2016","Liberal, It’s the DEMOCRATIC PARTY!!, Proud Grandma, Anglophile, ❤️Cats, Education #RidinWithBiden 24!! #Resistance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","107618","2244","2147","true","4785836575","false","false","false","Connecticut, USA","3829","Mombity at Large 🪷","1815519030217789506","false","https://pbs.twimg.com/profile_images/1854288872961720328/Gn2X8mSA_normal.jpg","","75856","https://twitter.com/Mombity","user","https://x.com/Mombity","Mombity",,"There is NO DIFFERENCE if Trump fires Rosenstein to shut down investigation or Sessions. As Rosenstein is technically the acting AG on all things Russia related due to Sessions' recusal, it is the same as firing the AG as Nixon did. OBSTRUCTION OF JUSTICE.","Tue Apr 10 23:48:08 +0000 2018"
"false","true",,"Sun Oct 16 21:44:19 +0000 2011","Born in Philadelphia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2563","79","235","true","392336012","false","false","false","Around The World","659","BusyB",,"false","https://pbs.twimg.com/profile_images/533465232295747585/nQLKZKA0_normal.jpeg","","10063","https://twitter.com/bhwayman","user","https://x.com/bhwayman","bhwayman",,"Trump, please stop trying to threaten and fire Mueller and Rosenstein, we need them to finish this investigation to learn what Russia tried to do!  @realDonaldTrump This is more important for the country!","Tue Apr 10 23:40:20 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/974035654467358725/1527016440","Wed Mar 14 21:32:51 +0000 2018","strange but not a stranger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","7245","137","3341","false","974035654467358725","false","false","false","Mars","97","the OG of Talking Heads","1005523908261502976","false","https://pbs.twimg.com/profile_images/1009478605116715008/fHBHvtj1_normal.jpg","","12296","https://twitter.com/thinkingcap33","user","https://x.com/thinkingcap33","thinkingcap33",,"@lblandford @talkpolitix Then why so much focus on Trump when HRC has just as many if not more “connections” to Russia? Not even a little bit of an investigation? Does that even make sense? Clearly this shows there is targeting of Trump.","Tue Apr 10 23:36:48 +0000 2018"
"false","true",,"Thu Apr 23 02:55:47 +0000 2009","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","67762","3631","3554","true","34507278","false","false","false","Toronto, Ontario, Canada","5","SouljahSingh","953814310903599106","false","https://pbs.twimg.com/profile_images/1544046558714413056/YED375b4_normal.jpg","","2749287","https://twitter.com/souljahsingh","user","https://x.com/souljahsingh","souljahsingh",,"Maybe Donald Trump is just waiting for a valid time to fire Robert Mueller when the Russia investigation gets beyond ridiculous.","Tue Apr 10 23:36:31 +0000 2018"
"false","true",,"Thu Apr 23 02:55:47 +0000 2009","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","67762","3631","3554","true","34507278","false","false","false","Toronto, Ontario, Canada","5","SouljahSingh","953814310903599106","false","https://pbs.twimg.com/profile_images/1544046558714413056/YED375b4_normal.jpg","","2749287","https://twitter.com/souljahsingh","user","https://x.com/souljahsingh","souljahsingh",,"What did charging Paul Manafort have to do with the Donald Trump and Russia investigation???","Tue Apr 10 23:36:26 +0000 2018"
"false","true",,"Thu Apr 23 02:55:47 +0000 2009","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","67762","3631","3554","true","34507278","false","false","false","Toronto, Ontario, Canada","5","SouljahSingh","953814310903599106","false","https://pbs.twimg.com/profile_images/1544046558714413056/YED375b4_normal.jpg","","2749287","https://twitter.com/souljahsingh","user","https://x.com/souljahsingh","souljahsingh",,"Sooner or later the Russia investigation will be a nightmare for Donald Trump if he doesn't fire him.","Tue Apr 10 23:36:23 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/32412626/1507515699","Fri Apr 17 13:55:19 +0000 2009","I love music, politics and Mzansi. A retweet does not equal endorsement. A-Reece's fan until I R.I.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","51918","3840","4990","true","32412626","false","false","false","Cincinnati, OH","5145","Greg Berchenko",,"false","https://pbs.twimg.com/profile_images/378800000693967861/6ab33050d10b6482109ddc2a0787e916_normal.jpeg","","59200","https://twitter.com/blaccoffee","user","https://x.com/blaccoffee","blaccoffee",,"@CNN I think Trump should stop considering and just do it. Mueller is going way outside of the Russia collusion investigation.","Tue Apr 10 23:34:57 +0000 2018"
