"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1017182682/1730869751","Mon Dec 17 10:44:14 +0000 2012","“Love the life you live. Live the life you love.” Use my referral link https://t.co/jAkdBbzWi8 to sign up for https://t.co/Y4fjGK43F8 and we both get $25 USD","crypto.com/app/np2rbdcjsu","http://crypto.com/app/np2rbdcjsu","71","94","https://t.co/jAkdBbzWi8","Crypto.com","http://Crypto.com","110","133","https://t.co/Y4fjGK43F8","crypto.com/app/np2rbdcjsu","https://crypto.com/app/np2rbdcjsu","0","23","https://t.co/EGRg3P0xse","0","127031","27330","30087","true","1017182682","true","false","false","Canada","20256","Moe Osman🍁","522740225345196032","false","https://pbs.twimg.com/profile_images/1806825468898988032/QKqQeZvi_normal.jpg","","101136","https://twitter.com/moeosman7","user","https://x.com/moeosman7","moeosman7","Light Of Russia Investigation Sends President Trump Affiliates Scatterin... https://t.co/O7i9AAKMi3 via @YouTube","Sat Jun 09 23:53:31 +0000 2018"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/1409617458/1585981248","Tue May 07 07:33:59 +0000 2013","""Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof...""   

#AlwaysPrinciple",,,,,,,,,,,,,,,,"0","40442","485","101","true","1409617458","false","false","false","","20097","Lynn","989310874568548352","false","https://pbs.twimg.com/profile_images/1246321800809787394/V_VSOZeI_normal.jpg","","182316","https://twitter.com/Lynn_Rose1","user","https://x.com/Lynn_Rose1","Lynn_Rose1","@Flyonfreedom @logicrules2 @Jim_Jordan @freedomcaucus Mueller began investigating Trump/Russia &amp; I support that investigation but a lot has been revealed since then &amp; I don't believe he's the person to head up an investigation of FBI/DOJ &amp; it would be a waste to duplicate Mueller's work so I support expansion of the team &amp; goals.","Sat Jun 09 23:45:52 +0000 2018"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/1002360296223096834/1527907871","Fri Jun 01 01:24:52 +0000 2018","NO DMS PLEASE.I am Proficient in 3 Languages: English, Sarcasm, & Profanity. Fallible human being with feet of clay.",,,,,,,,,,,,,,,,"0","459908","12909","14220","false","1002360296223096834","false","false","false","Mojave Desert","114921","Dystopian🐉🌻💜🇺🇸","1806695466341732709","false","https://pbs.twimg.com/profile_images/1598031365227700224/lWoaoU_r_normal.jpg","","968440","https://twitter.com/shell_loyd","user","https://x.com/shell_loyd","shell_loyd","Light Of Russia Investigation Sends President Trump Affiliates Scatterin... https://t.co/2IT7XHwgdj via @YouTube","Sat Jun 09 23:31:17 +0000 2018"
,,,,,,"false","true",,"Mon Oct 15 19:19:05 +0000 2012","parler @StoneColdChik God/Honey to Gunny/Mom/Country/Constitution /former FMF Corpsman & EMT/writer/blogger/gardener/farmer/mediator/seeking proven leadership",,,,,,,,,,,,,,,,"0","139117","5008","5611","true","882947018","false","false","false","","821","Stone Cold Chik",,"false","https://pbs.twimg.com/profile_images/2760334194/adcc7e0822f806f508cbe0666bebf659_normal.png","","220058","https://twitter.com/StoneColdChik","user","https://x.com/StoneColdChik","StoneColdChik","@silentrunning12 so the guy with ties to Uranium One and Mueller was part of Australia who worked in London where MI5 &amp; MI6 have shown involvement also has ties to the clintons and is the one that prompted the investigation on Trump/Russia? https://t.co/te03OMniCy I am saying it again 5EYES","Sat Jun 09 23:27:23 +0000 2018"
,,,,,,"false","true",,"Mon Sep 25 21:08:51 +0000 2017","",,,,,,,,,,,,,,,,"0","419","31","22","true","912423678436102144","false","false","false","","82","Dexter K",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","23664","https://twitter.com/DexterK060316","user","https://x.com/DexterK060316","DexterK060316","Donald Trump is insane. The Russia investigation has taken its toll with his mental stability, and now we send him to meet with a nuclear renegade on his own. He made insulting comments regarding members of the G7 pulling trade deficit numbers out of his butt. He has lied to many","Sat Jun 09 23:21:02 +0000 2018"
,,,,,,"false","false",,"Sat Dec 11 04:18:41 +0000 2010","",,,,,,,,,,,"cnn.com/profiles/danie…","https://www.cnn.com/profiles/daniel-dale","0","23","https://t.co/WtncnBR1Pp","0","17875","1039116","1761","true","225265639","true","false","false","","9398","Daniel Dale",,"false","https://pbs.twimg.com/profile_images/1856729128768024578/dLWln-qy_normal.jpg","","110725","https://twitter.com/ddale8","user","https://x.com/ddale8","ddale8","As with the Russia investigation, the travel ban and lots of other things, Trump is saying things out loud about his tariffs that undermine his administration's superficial official rationale and that undercut his legal case.","Sat Jun 09 23:15:47 +0000 2018"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/848276549308739584/1514487643","Sat Apr 01 20:51:04 +0000 2017","Tracking the important questions through the 2024 Election. Not affiliated with the actual 2024 Election.",,,,,,,,,,,,,,,,"0","251059","29403","18904","true","848276549308739584","true","false","false","USA","1","NovElection2024",,"false","https://pbs.twimg.com/profile_images/1480338124697968642/19f_s-GW_normal.jpg","","42629","https://twitter.com/NovElection2024","user","https://x.com/NovElection2024","NovElection2024","Does Donald Trump want Americans to forget about the Russia investigation?","Sat Jun 09 23:15:34 +0000 2018"
,,,,,,"true","true","https://pbs.twimg.com/profile_banners/2169868311/1614291099","Tue Nov 05 20:24:39 +0000 2013","",,,,,,,,,,,,,,,,"0","42072","1878","4204","true","2169868311","false","false","false","Trumbull, CT","11553","Michael Ganino",,"false","https://pbs.twimg.com/profile_images/1365062333274484742/6FZClLxk_normal.jpg","","38158","https://twitter.com/magicmike118","user","https://x.com/magicmike118","magicmike118","@GlennThrush At the conclusion of Mueller's investigation &amp; let's suppose nothing transpired between ""Famiglia Trump"" &amp; Russia. We MUST still respond 2 Russian incursions into our elections, safeguarding future elections, yet TRUMP &amp; his minions have taken NO discernable actions.

WTF","Sat Jun 09 23:03:28 +0000 2018"
,,,,,,"false","true",,"Tue Oct 05 21:38:29 +0000 2010","NO DM's please!  Fully vaxxed  #Biden/Harris  NO MAGA's
#BuildBackBetter  #SaveVotingRights   
Chronic pain patients are suffering  #DontPunishPain",,,,,,,,,,,,,,,,"0","23348","6656","7054","true","199034457","false","false","false","Arkansas, USA","348","N.K. Zachary🌊 @deenie61",,"false","https://pbs.twimg.com/profile_images/1522449457/graduation_018_normal.jpg","","31508","https://twitter.com/deenie61","user","https://x.com/deenie61","deenie61",".@heraldleader 22 indictments, 5 guilty pleas, 100+ crimes: @SenateMajLdr knows the Russia investigation isn’t a “witch hunt,” so why won’t he bring the bill to block Trump from firing Mueller to the floor? He’s enabling Trump’s cover-up. Ask why!","Sat Jun 09 23:02:12 +0000 2018"
,,,,,,"false","true",,"Tue Oct 05 21:38:29 +0000 2010","NO DM's please!  Fully vaxxed  #Biden/Harris  NO MAGA's
#BuildBackBetter  #SaveVotingRights   
Chronic pain patients are suffering  #DontPunishPain",,,,,,,,,,,,,,,,"0","23348","6656","7054","true","199034457","false","false","false","Arkansas, USA","348","N.K. Zachary🌊 @deenie61",,"false","https://pbs.twimg.com/profile_images/1522449457/graduation_018_normal.jpg","","31508","https://twitter.com/deenie61","user","https://x.com/deenie61","deenie61",".@courierjournal 22 indictments, 5 guilty pleas, 100+ crimes: @SenateMajLdr knows the Russia investigation isn’t a “witch hunt,” so why won’t he bring the bill to block Trump from firing Mueller to the floor? He’s enabling Trump’s cover-up. Ask why!","Sat Jun 09 23:01:48 +0000 2018"
