"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/description/urls/2/display_url","author/entities/description/urls/2/expanded_url","author/entities/description/urls/2/indices/0","author/entities/description/urls/2/indices/1","author/entities/description/urls/2/url","author/entities/description/urls/3/display_url","author/entities/description/urls/3/expanded_url","author/entities/description/urls/3/indices/0","author/entities/description/urls/3/indices/1","author/entities/description/urls/3/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/801833057120464900/1507480558","Thu Nov 24 17:01:12 +0000 2016","❤️🇱🇷🍔🐶🐱🥩🇺🇸",,,,,,,,,,,,,,,,,,,,,,,,,,"0","9029","125","333","false","801833057120464900","false","false","false","","1","GoldenPuppy",,"false","https://pbs.twimg.com/profile_images/823591893132972032/OMhsKn00_normal.jpg","","7473","https://twitter.com/HappyDay2AllofU","user","https://x.com/HappyDay2AllofU","HappyDay2AllofU",,"@FoxNews @newtgingrich @FoxNewsOpinion I wish they would investigate Mueller &amp; all of Hillary's BFF who drug out this investigation for so long. Why only Hillary supporters? Is he still looking for that 1 person out of 330 million who will testify against Trump regardless of what he needs to do to make it happen.","Mon Aug 20 23:59:31 +0000 2018"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/24772952/1504691890","Mon Mar 16 21:24:47 +0000 2009","I don't write tweets ...I write life... I got a big mouth,I can't help it, I talk from my heart, I'm real..",,,,,,,,,,,,,,,,,,,,,,,,,,"0","174","2090","1126","true","24772952","false","false","false","","32441","Tonio","1519323454163533826","false","https://pbs.twimg.com/profile_images/1685913597594009600/iSCkCR5u_normal.jpg","","186864","https://twitter.com/e_m_e_t_i_b","user","https://x.com/e_m_e_t_i_b","e_m_e_t_i_b",,"👍 on @YouTube: SICK!!! Team Trump's Trouble with the Truth &amp; Some Facts About the Mueller Investigation https://t.co/XWhDtoEa4a","Mon Aug 20 23:59:23 +0000 2018"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/1499442655/1388532477","Mon Jun 10 21:21:12 +0000 2013","3 dogs, 1 cat, teacher, Lots of chocolate! 
Love Michigan!! Comments are my thoughts out loud.",,,,,,,,,,,,,,,,,,,,,,,,,,"0","27700","340","706","false","1499442655","false","false","false","","6","Linda Anderson",,"false","https://pbs.twimg.com/profile_images/1210623989619580928/TiJR7yoq_normal.jpg","","15902","https://twitter.com/LindaAn68712220","user","https://x.com/LindaAn68712220","LindaAn68712220",,"Things are adding up for Mueller's investigation!","Mon Aug 20 23:57:16 +0000 2018"
,,,,,,"false","false",,"Sun Feb 19 20:39:19 +0000 2017","Combat vet.  America didn't create the militia.  The militia created America!  #WalkAway #VoteRed #JobsNotMobs https://t.co/OIXfSXj1DX","hisubway.online","http://hisubway.online","111","134","https://t.co/OIXfSXj1DX",,,,,,,,,,,,,,,,,,,,,"0","46361","758","1059","true","833415691852214272","false","false","false","","165","Elizabeth C.O'Connor",,"false","https://pbs.twimg.com/profile_images/1133026098256728064/-2tbMoYX_normal.jpg","","23634","https://twitter.com/ElizabethCOCon2","user","https://x.com/ElizabethCOCon2","ElizabethCOCon2",,"@thefamilycrypt @PatGregg2 @realDonaldTrump In the USPS anthrax attacks, Mueller targeted a man who was helping the investigation, drove him to suicide, &amp; claimed the suicide was proof of his guilt.  The culprit has never been found.

His mistake about Iraq's WMDs cost 4542 US soldiers &amp; 323 other soldiers their lives.","Mon Aug 20 23:56:44 +0000 2018"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/954023369749532672/1641159084","Thu Jan 18 16:11:11 +0000 2018","Despised Trump since 1986. Still in disbelief this asshole was ever President of the United States. Counting down to Trump's convictions & long prison sentence.",,,,,,,,,,,,,,,,,,,,,,,,,,"0","96641","31521","27383","false","954023369749532672","false","false","false","Bethel, CT","12105","Convictions & Leavenworth 4 Trump","1457431859927916548","false","https://pbs.twimg.com/profile_images/1553222164735836160/ZUzAWHex_normal.jpg","","35895","https://twitter.com/AllThingzTRUMP","user","https://x.com/AllThingzTRUMP","AllThingzTRUMP",,"Trump on Mueller Investigation: ‘I Could Run It if I Want” 

“Even if I am telling the truth, that makes me a liar,” Trump insisted. “That’s no good.""
https://t.co/CD2ue7o8Yp via @thedailybeast","Mon Aug 20 23:56:22 +0000 2018"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/22164019/1354831178","Fri Feb 27 17:28:58 +0000 2009","Information/Communications Technology, Networks, Recording Eng, science, tech, media and Beer.",,,,,,,,,,,,,,,,,,,,,"vtblom.blogspot.com","https://vtblom.blogspot.com/","0","23","https://t.co/Q3ObyvSRvn","0","815","846","1775","false","22164019","false","false","false","West Melbourne, FL","626","Scott V. Blomquist",,"false","https://pbs.twimg.com/profile_images/952289186022809600/Yixidf9c_normal.jpg","","112894","https://twitter.com/vtblom","user","https://x.com/vtblom","vtblom",,"Trump Claims King-Like Powers While Saying He Could 'Run' the Mueller Investigation Himself https://t.co/iqz2VyKN6r","Mon Aug 20 23:56:10 +0000 2018"
,,,,,,"false","true",,"Sat Mar 21 08:34:42 +0000 2009","",,,,,,,,,,,,,,,,,,,,,,,,,,"0","981","158","612","false","25655525","false","false","false","","7194","PK51",,"false","https://pbs.twimg.com/profile_images/491687313/Paul___F_Lee_Bailey__crop___Zoomed__normal.jpg","","118772","https://twitter.com/lawexpert","user","https://x.com/lawexpert","lawexpert",,"Fox's Newt Gingrich: Mueller interviewing White House counsel Don McGahn should be ""the end of the Mueller investigation"" https://t.co/fxJySR4YXk","Mon Aug 20 23:55:57 +0000 2018"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/18679428/1500663844","Tue Jan 06 15:31:15 +0000 2009","White. Male. Christian. Straight. ex-Wyomingite. Engineer/Scientist. 
Also, married to Black woman, father, Dem voter, curmudgeon. He / him. Love is love.",,,,,,,,,,,,,,,,,,,,,"thoughtsonthetrail.blogspot.com","http://thoughtsonthetrail.blogspot.com/","0","23","https://t.co/bmp25840kw","0","18026","828","973","true","18679428","false","false","false","Venice, CA","838","Duane Bindschadler","1566799807636594688","false","https://pbs.twimg.com/profile_images/1821984843112312835/8EIKm-pO_normal.jpg","","21550","https://twitter.com/dbindsch","user","https://x.com/dbindsch","dbindsch",,"The idea 💡 that Trump is mad at the Mueller investigation because Trump is a #BigPicture guy and Mueller is a #details guy is like saying that Hitler and Churchill’s differences over whiskey and cigars vs beer and sausages.","Mon Aug 20 23:54:43 +0000 2018"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/55414965/1577490384","Fri Jul 10 00:34:17 +0000 2009","PARLER @hotstor123
GAB @dlgChatty
👍 🇺🇸  #MAGA #KAG #1A #2A
💖 Trump best POTUS ... so far!  WHITE: NO guilt, NO fear, NO apologies 👊",,,,,,,,,,,,,,,,,,,,,,,,,,"0","48822","3543","4595","true","55414965","false","false","false","California City, CA","589","UltraMAGA 🍊 DGayou",,"false","https://pbs.twimg.com/profile_images/1258877494549250050/ULh7qiF1_normal.jpg","","76280","https://twitter.com/1deserthottie","user","https://x.com/1deserthottie","1deserthottie",,"@wiserpaula Everyone slamming me about Mueller ""investigation"" must just be blowing off steam! 😘 I've been tweeting to #FireMuellerNow for many months!","Mon Aug 20 23:54:10 +0000 2018"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/894108847/1546127645","Sat Oct 20 21:49:53 +0000 2012","independent voter. Veteran",,,,,,,,,,,,,,,,,,,,,,,,,,"0","70570","750","835","true","894108847","false","false","false","United States","9","Donald Fickett",,"false","https://pbs.twimg.com/profile_images/1183154446559338496/1iaNPcnK_normal.jpg","","54847","https://twitter.com/fickett_donald","user","https://x.com/fickett_donald","fickett_donald",,"Those that bestowed “A Honest Agent with impeccable credentials” on Robert Mueller is now Fake News.  Time for RINOS to call for his investigation to end and stop protecting protecting him.","Mon Aug 20 23:52:52 +0000 2018"
