"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/description/urls/2/display_url","author/entities/description/urls/2/expanded_url","author/entities/description/urls/2/indices/0","author/entities/description/urls/2/indices/1","author/entities/description/urls/2/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/23207314/1588901198","Sat Mar 07 16:28:25 +0000 2009","Editor/CEO Amici Journal Author WGA Best Seller Author the loyal Disorder 1-2 IMDB



Etc Gaming Ind, 

Casino Analytics, Tae ITF 4 Dan Blk Belt! Wing Chun,",,,,,,,,,,,,,,,,"amiciorgit.net","http://www.amiciorgit.net","0","23","https://t.co/XBoyiidB0N","0","23621","1268","4669","false","23207314","false","false","false","Las Vegas, NV","14317","Amici Journal","1054801582271971330","false","https://pbs.twimg.com/profile_images/1286385543635492865/781deta6_normal.jpg","","100091","https://twitter.com/amici09","user","https://x.com/amici09","amici09","Welcome to Day 600. TRUMP CIRCUS

Today in one sentence: Trump began the 17th anniversary of the Sept. 11, 2001, terror attacks by tweeting a defense of himself in the Russia investigation; the Trump... https://t.co/U69IReSXXJ","Tue Sep 11 23:57:59 +0000 2018"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/865180307426861056/1525032716","Thu May 18 12:20:34 +0000 2017","Donald Trump must be challenged. As minuscule as my tweets are, to not say “you are wrong” is to be complicit in what he spews. Seeker of basic common sense.",,,,,,,,,,,,,,,,,,,,,"0","11826","354","144","false","865180307426861056","false","false","false","Boynton Beach, FL","220","TRUMP IS A LIAR",,"false","https://pbs.twimg.com/profile_images/1060059777429049344/CcdFkh1Z_normal.jpg","","12051","https://twitter.com/SFLABABS","user","https://x.com/SFLABABS","SFLABABS","He’s an idiot.  And it will be his criminal acts with the charity that will put him in prison.Donald Trump Jr. says he's not afraid of going to jail in Russia investigation https://t.co/x4sutVsN73 via @USATODAY","Tue Sep 11 23:55:12 +0000 2018"
,,,,,,"true","true",,"Sat Feb 05 16:11:46 +0000 2011","I’m trying to delete this account. I don’t trust sleaze bag Musk",,,,,,,,,,,,,,,,,,,,,"0","1069","520","434","false","247803955","false","false","false","","2133","Mark",,"false","https://pbs.twimg.com/profile_images/737134200801873921/SXF4WEgu_normal.jpg","","265218","https://twitter.com/pawyai1","user","https://x.com/pawyai1","pawyai1","Donald Trump Jr. says he's not afraid of going to jail in Russia investigation https://t.co/c3nDOS78GY 

Take K-Y with you.","Tue Sep 11 23:53:49 +0000 2018"
,,,,,,"true","true","https://pbs.twimg.com/profile_banners/15391102/1524766682","Fri Jul 11 13:19:21 +0000 2008","Your stop for breaking news, weather & traffic in DC, Maryland & Virginia. Story ideas? Email newstips@wusa9.com. (@CBS, @TEGNA)",,,,,,,,,,,,,,,,"wusa9.com","http://www.wusa9.com","0","23","https://t.co/M7YohzY7AK","0","11864","137925","4981","true","15391102","false","false","false","Washington, DC","85349","WUSA9",,"false","https://pbs.twimg.com/profile_images/1542966726643662849/ueFSM1sv_normal.jpg","","402385","https://twitter.com/wusa9","user","https://x.com/wusa9","wusa9","Donald Trump Jr. says he's not afraid of going to jail in Russia investigation https://t.co/y9Y62MbrTO https://t.co/XS45fnaDkd","Tue Sep 11 23:50:43 +0000 2018"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/4059740720/1615935090","Thu Oct 29 17:20:22 +0000 2015","",,,,,,,,,,,,,,,,,,,,,"0","92415","1071","1542","true","4059740720","false","false","false","United States","6367","V.Gramrosa",,"false","https://pbs.twimg.com/profile_images/1371957096611115008/kDa0DpBH_normal.jpg","","17860","https://twitter.com/VGramrosa","user","https://x.com/VGramrosa","VGramrosa","Donald Trump Jr. says he's not afraid of going to jail in Russia investigation - USA TODAY https://t.co/em9tlSBiRK","Tue Sep 11 23:45:51 +0000 2018"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/832339220144484355/1490547733","Thu Feb 16 21:21:49 +0000 2017","Retired, Democrat, Dislike the entire tramp family, US ARMY VET I will refollow as long as you're not just trying to sell something or a DAMNED TRAMP BOT",,,,,,,,,,,,,,,,,,,,,"0","70604","3380","3227","true","832339220144484355","false","false","false","Indiana, USA","9933","Merle Jennings",,"false","https://pbs.twimg.com/profile_images/832661287842615297/iDAHaHr0_normal.jpg","","124488","https://twitter.com/MerleJennings18","user","https://x.com/MerleJennings18","MerleJennings18","Donald Trump Jr. says he's not afraid of going to jail in Russia investigation - Democratic Underground https://t.co/4brt7Car1N via @demunderground","Tue Sep 11 23:29:35 +0000 2018"
,,,,,,"false","true",,"Mon Nov 27 23:40:31 +0000 2017","",,,,,,,,,,,,,,,,,,,,,"0","2701","6","37","false","935292281703354368","false","false","false","","1","Anne Fullerton",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","1027","https://twitter.com/AnneFullerton5","user","https://x.com/AnneFullerton5","AnneFullerton5","We’ve all been waiting so long for the Mueller investigation regarding Russia to name anyone from Trump’s  campaign, I know there have been some indited but we need to know more especially if the President was involved before the Nov. election.","Tue Sep 11 23:26:08 +0000 2018"
,,,,,,"true","true","https://pbs.twimg.com/profile_banners/12231932/1730386280","Mon Jan 14 20:05:41 +0000 2008","Currently https://t.co/VogMutrWLq. Formerly CNN, HCAN, Current TV, & https://t.co/RAOU4R2JRv. Watch this space.","AHF.org","http://AHF.org","10","33","https://t.co/VogMutrWLq","InvestigateRussia.org","http://InvestigateRussia.org","69","92","https://t.co/RAOU4R2JRv",,,,,,,,,,,"0","24555","37671","844","true","12231932","false","false","false","Los Angeles","1221","JackiSchechner",,"false","https://pbs.twimg.com/profile_images/1848576614059126784/7i6iNuxL_normal.jpg","","27628","https://twitter.com/JackiSchechner","user","https://x.com/JackiSchechner","JackiSchechner","Think about the kind of person you’d have to be to want to work for Donald Trump. 

Remember that every time one of those people attacks the Russia investigation.","Tue Sep 11 23:19:17 +0000 2018"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/804692402644586496/1485725532","Fri Dec 02 14:23:14 +0000 2016","Former USAF. Spent some time in 🇰🇷,🇧🇦,🇽🇰,🇰🇼 and 🇸🇦 in the mid to late 90's, then 🇮🇶 after 9/11. Speaks some 🇷🇺,🇫🇷,🇩🇪 and 🇪🇬. Tracks animals, surfs, hikes, jeeps",,,,,,,,,,,,,,,,,,,,,"0","29180","1812","2075","true","804692402644586496","false","false","false","California, USA","1210","⚔️One Ornery Democrat!⚔️ 🇺🇸","825375425018753024","false","https://pbs.twimg.com/profile_images/804757686222876673/S6kWia9k_normal.jpg","","86748","https://twitter.com/LibsFor","user","https://x.com/LibsFor","LibsFor","Donald Trump Jr. says he's not afraid of going to jail in Russia investigation #Resist #ResistTrump #Cult45 #FuckTrump https://t.co/aKbUYjvJk6","Tue Sep 11 23:15:03 +0000 2018"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/896468588885925889/1555776575","Sat Aug 12 20:29:01 +0000 2017","She walked into my office. 'A criminal stole the Presidency,' she said. I knew this case would be trouble...but I poured her a drink. 'When do I start?'
#Resist",,,,,,,,,,,,,,,,,,,,,"0","15713","5975","6028","false","896468588885925889","false","false","false","I'm a fact-checker.","925","Detective Gittes [UNREDACTED]","1074385408866308104","false","https://pbs.twimg.com/profile_images/1119633899162939393/V5krIh75_normal.jpg","","7748","https://twitter.com/DetectiveGittes","user","https://x.com/DetectiveGittes","DetectiveGittes","After Trump described #Florence as ""tremendously big and tremendously wet,"" he turned his attention to the Russia investigation, which he described as ""tremendously long, tremendously hard, and constantly probing me.""

😆","Tue Sep 11 23:14:50 +0000 2018"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/18149200/1369766625","Mon Dec 15 22:49:26 +0000 2008","I work on strategy, partnerships and technology to improve the market opportunity for news media in the digital economy.",,,,,,,,,,,,,,,,"distributedmedialab.com","http://www.distributedmedialab.com","0","23","https://t.co/uE9HEHeeo0","0","4160","790","1313","false","18149200","false","false","false","Palo Alto, Santa Barbara","54","davegehring","1676027739084828675","false","https://pbs.twimg.com/profile_images/495800310/Picture_3_normal.png","","5622","https://twitter.com/davegehring","user","https://x.com/davegehring","davegehring","@brithume You could claim on Fox News that the sources are not to be trusted because they are the same officials that told Trump his inauguration was the largest ever, or that the GDP/Unemployment is the best in 100 years, or that the Russia investigation is going to be over soon.","Tue Sep 11 23:14:33 +0000 2018"
,,,,,,"true","true",,"Sat Feb 05 16:11:46 +0000 2011","I’m trying to delete this account. I don’t trust sleaze bag Musk",,,,,,,,,,,,,,,,,,,,,"0","1069","520","434","false","247803955","false","false","false","","2133","Mark",,"false","https://pbs.twimg.com/profile_images/737134200801873921/SXF4WEgu_normal.jpg","","265218","https://twitter.com/pawyai1","user","https://x.com/pawyai1","pawyai1","Donald Trump Jr. says he's not afraid of going to jail in Russia investigation https://t.co/c3nDOS78GY 

Tell us that after 5 years","Tue Sep 11 23:00:52 +0000 2018"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/72552866/1414094998","Tue Sep 08 13:33:56 +0000 2009","Top #News from the U.S. and around the #World ▪ RT ≠ endorsement ▪ #USRC ▪ https://t.co/Qo8cdHz4qL","ow.ly/3QU4C","http://ow.ly/3QU4C","75","98","https://t.co/Qo8cdHz4qL",,,,,,,,,,,"usrcmag.com","http://usrcmag.com/","0","23","https://t.co/aj1PVk9l0j","0","5563","72695","71285","true","72552866","false","false","false","USA","308796","Top U.S. & World News🗽",,"false","https://pbs.twimg.com/profile_images/841444041417977857/G4W2DaYB_normal.jpg","","738840","https://twitter.com/USRealityCheck","user","https://x.com/USRealityCheck","USRealityCheck","Trump struggles to embrace consoler-in-chief role The president spent the early part of the day tweeting about the Russia investigation and the Woodward book, before giving a memorial eulogy in Pennsylvania. https://t.co/PvzCIWgEp8 #USRC https://t.co/tkhUA9caE5","Tue Sep 11 22:54:45 +0000 2018"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/598684128/1547914898","Sun Jun 03 19:43:02 +0000 2012","//TV Producer YouTube /First Huggy Bean Author/Founder One Love Tennis. UFT/NYSUT/AFT Delegate. AKA Soror.https://t.co/Caeb5WQFj4","educationupdate.com/phyllismurray/","http://educationupdate.com/phyllismurray/","106","129","https://t.co/Caeb5WQFj4",,,,,,,,,,,"educationupdate.com/phyllismurray","http://educationupdate.com/phyllismurray","0","23","https://t.co/iLuXvCqv1x","0","56274","1151","2610","false","598684128","false","false","false","Scarsdale, New York","26087","phyllis young murray","1098098149149868032","false","https://pbs.twimg.com/profile_images/1104102393166344194/bXCndbEo_normal.jpg","","101870","https://twitter.com/cybrarian75x","user","https://x.com/cybrarian75x","cybrarian75x","A new low. An unbelievable embarrassment. The president also began the day by tweeting attacks on the Russia investigation.On September 11, 2001, Donald Trump called a local news station and bragged about how one of his buildings was now the tallest in lower Manhattan.Trump today","Tue Sep 11 22:34:20 +0000 2018"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/24657865/1613637882","Mon Mar 16 05:59:48 +0000 2009","Ah me free as a bird. I used to break into pet stores to liberate the canaries but I decided that was an idea before it's time. ~ Maude in ""Harold and Maude""",,,,,,,,,,,,,,,,"liberatedcanary.blogspot.com","http://liberatedcanary.blogspot.com","0","23","https://t.co/4WqGBflU9P","0","6992","1517","2089","false","24657865","false","false","false","Alpharetta, Georgia USA","552","💙Liberated Canary💙",,"false","https://pbs.twimg.com/profile_images/1362322131359436808/M-i4MMTf_normal.jpg","","16009","https://twitter.com/DiamondDixie","user","https://x.com/DiamondDixie","DiamondDixie","@WindsorTrader33 @a634f69d9e534fd @RudyGiuliani Operation crossfire hurricane was the code name the FBI gave the Russia/Trump collusion investigation. It was a real thing alright and it started with what Papadopalous said about the dirt on Hillary. That is what started the investigation.  https://t.co/QimVB416m6","Tue Sep 11 22:31:41 +0000 2018"
,,,,,,"false","true",,"Sat Sep 07 03:29:26 +0000 2013","Moved",,,,,,,,,,,,,,,,,,,,,"0","0","131","68","false","1740060962","false","false","false","","351","Moved",,"false","https://pbs.twimg.com/profile_images/378800000430947753/4245c2632fcc358d67924efeb29c9e43_normal.jpeg","","259763","https://twitter.com/Topphnygn","user","https://x.com/Topphnygn","Topphnygn","Donald Trump Jr. says he's not afraid of going to jail in Russia investigation https://t.co/7mzE4RkD3k","Tue Sep 11 22:30:05 +0000 2018"
