"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/description/urls/2/display_url","author/entities/description/urls/2/expanded_url","author/entities/description/urls/2/indices/0","author/entities/description/urls/2/indices/1","author/entities/description/urls/2/url","author/entities/description/urls/3/display_url","author/entities/description/urls/3/expanded_url","author/entities/description/urls/3/indices/0","author/entities/description/urls/3/indices/1","author/entities/description/urls/3/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/15535860/1726267284","Tue Jul 22 19:34:30 +0000 2008","Breaking news, exclusive stories, weather and investigations in San Diego.",,,,,,,,,,,,,,,,,,,,,"NBC7.com","http://www.NBC7.com","0","23","https://t.co/fB5VWE3bqV","0","8641","272667","3948","true","15535860","false","false","false","San Diego, CA","37661","NBC 7 San Diego",,"false","https://pbs.twimg.com/profile_images/1823060960296529920/f5NzyYZB_normal.jpg","","323901","https://twitter.com/nbcsandiego","user","https://x.com/nbcsandiego","nbcsandiego","Business","Results show that majority-Latino areas of San Diego County shifted toward Donald Trump by wide margins in the 2024 presidential election — in line with trends taking shape nationwide. https://t.co/Ltw3bx0OGL","Sat Nov 09 23:30:08 +0000 2024"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1779953129347530752/1714852852","Mon Apr 15 19:21:37 +0000 2024","UA ‘24 | Turning Point Action",,,,,,,,,,,,,,,,,,,,,,,,,,"0","322","939","127","false","1779953129347530752","false","false","false","","26","Mylie Biggs","1847311002171568293","false","https://pbs.twimg.com/profile_images/1786847762807693312/IGxwpIUf_normal.jpg","","336","https://twitter.com/MylieBiggs","user","https://x.com/MylieBiggs","MylieBiggs",,"🚨AZ 2020 V 2024 PRESIDENTIAL COMPARISON🚨 

GOP V DEM by COUNTY

Nearly EVERY COUNTY IN AZ has shifted MORE Republican in this election compared to 2020 -- and THE COUNTING ISN'T EVEN FINISHED YET‼️ https://t.co/Avl0TMV1Ez","Sat Nov 09 22:35:00 +0000 2024"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/3223426134/1729645880","Fri May 22 16:19:26 +0000 2015","Find me at: https://t.co/irDWUjJ8hz

Or: https://t.co/ISkurbutTq
Or: https://t.co/C61aEoBmYZ
Or: https://t.co/cwOaxezty7","sethabramson.bsky.social","http://sethabramson.bsky.social","12","35","https://t.co/irDWUjJ8hz","houndsmusic.substack.com","https://houndsmusic.substack.com/","41","64","https://t.co/ISkurbutTq","sethabramson.substack.com","https://sethabramson.substack.com/","69","92","https://t.co/C61aEoBmYZ","retrostack.substack.com","https://retrostack.substack.com/","97","120","https://t.co/cwOaxezty7","sethabramson.net/bio","http://sethabramson.net/bio","0","23","https://t.co/nFWEuGNTKN","0","24","837966","18","true","3223426134","true","false","false","","7300","Seth Abramson","1863466072113836215","false","https://pbs.twimg.com/profile_images/1696613695307001859/lBx1swSz_normal.jpg","","85391","https://twitter.com/SethAbramson","user","https://x.com/SethAbramson","SethAbramson",,"(📢) Proof of Consequences, Vol. 2: The 2024 U.S. Presidential Election Was Not Stolen

Election denialism is a dead end for us Democrats. Please RETWEET this essay—expanded from its Twitter version—for anyone you know going down this dangerous road.

🔗: https://t.co/CnLpOCqphZ https://t.co/TI4GW9LzQO","Sat Nov 09 22:34:36 +0000 2024"
,,,,,,"true","true","https://pbs.twimg.com/profile_banners/3041775900/1729176450","Wed Feb 25 22:44:01 +0000 2015","Support Alpha News: https://t.co/takDmHBxFp","loom.ly/Wl603DU","https://loom.ly/Wl603DU","20","43","https://t.co/takDmHBxFp",,,,,,,,,,,,,,,,"alphanewsdoc.com","http://alphanewsdoc.com/","0","23","https://t.co/KckGq1NFB8","0","307","75821","2398","true","3041775900","false","false","false","Minnesota","5784","Alpha News","1846883862292713537","false","https://pbs.twimg.com/profile_images/1488613775506907138/mhZPTuzk_normal.jpg","","23491","https://twitter.com/AlphaNewsMN","user","https://x.com/AlphaNewsMN","AlphaNewsMN","Business","“It’s going to be very interesting to see whether it affects his conduct, his rhetoric,” Rep. Walter Hudson said about Kamala Harris and Tim Walz’s recent loss in the 2024 presidential election. https://t.co/a9vZGvNOnL","Sat Nov 09 20:28:46 +0000 2024"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/3223426134/1729645880","Fri May 22 16:19:26 +0000 2015","Find me at: https://t.co/irDWUjJ8hz

Or: https://t.co/ISkurbutTq
Or: https://t.co/C61aEoBmYZ
Or: https://t.co/cwOaxezty7","sethabramson.bsky.social","http://sethabramson.bsky.social","12","35","https://t.co/irDWUjJ8hz","houndsmusic.substack.com","https://houndsmusic.substack.com/","41","64","https://t.co/ISkurbutTq","sethabramson.substack.com","https://sethabramson.substack.com/","69","92","https://t.co/C61aEoBmYZ","retrostack.substack.com","https://retrostack.substack.com/","97","120","https://t.co/cwOaxezty7","sethabramson.net/bio","http://sethabramson.net/bio","0","23","https://t.co/nFWEuGNTKN","0","24","837966","18","true","3223426134","true","false","false","","7300","Seth Abramson","1863466072113836215","false","https://pbs.twimg.com/profile_images/1696613695307001859/lBx1swSz_normal.jpg","","85391","https://twitter.com/SethAbramson","user","https://x.com/SethAbramson","SethAbramson",,"(🧵) The 2024 U.S. presidential election was *not* stolen: a THREAD.

RETWEET for anyone in your life going down this road. https://t.co/k5BOwu7wmJ","Sat Nov 09 19:49:30 +0000 2024"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/896731633704947712/1651356024","Sun Aug 13 13:54:16 +0000 2017","News, analysis, and opinion from US, Canada, and the world. Sign up for our newsletter https://t.co/tNixXfFj1M","bit.ly/3Bd2Lp9","http://bit.ly/3Bd2Lp9","87","110","https://t.co/tNixXfFj1M",,,,,,,,,,,,,,,,"ThePostMillennial.com","https://www.ThePostMillennial.com","0","23","https://t.co/cWlMLoBjn7","0","12823","415096","2427","true","896731633704947712","true","false","false","Canada","43002","The Post Millennial","1863279449308803498","false","https://pbs.twimg.com/profile_images/1460306213229453317/hxefwhdS_normal.jpg","","121675","https://twitter.com/TPostMillennial","user","https://x.com/TPostMillennial","TPostMillennial","Business","New York City — Thousands protest the results of the 2024 presidential election: ""Donald Trump's got to go."" https://t.co/Lljm23eb6A","Sat Nov 09 18:11:07 +0000 2024"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1560341081576939524/1681050926","Thu Aug 18 19:01:35 +0000 2022","It’s always darkest just before the dawn. MARRIED.. No Dms.",,,,,,,,,,,,,,,,,,,,,,,,,,"0","36288","746332","1907","true","1560341081576939524","true","false","false","","9518","Insurrection Barbie","1847089954448724147","false","https://pbs.twimg.com/profile_images/1842740427872522240/X0Sggcwq_normal.jpg","","411299","https://twitter.com/DefiyantlyFree","user","https://x.com/DefiyantlyFree","DefiyantlyFree",,"The only time that a candidate for the Senate had received more votes than the presidential candidate in Arizona was in 2020, and now in 2024. 

In both the 2012 election and the 2016 election, the presidential candidate at the top of the ticket had more votes than the Senate candidate.","Sat Nov 09 18:07:21 +0000 2024"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/16331010/1664401115","Wed Sep 17 15:50:22 +0000 2008","Breaking entertainment news as it happens.",,,,,,,,,,,,,,,,,,,,,"TMZ.com","http://www.TMZ.com","0","23","https://t.co/LQPPfVeJqW","0","1381","8181024","925","true","16331010","true","false","false","Los Angeles, CA","57167","TMZ",,"false","https://pbs.twimg.com/profile_images/948698715220410368/EkNILtvi_normal.jpg","","463511","https://twitter.com/TMZ","user","https://x.com/TMZ","TMZ","Business","Vice President #KamalaHarris may've lost the 2024 Presidential Election, but her future is still looking bright -- the politician could rake in the dough with speaking engagements. https://t.co/Lzr08Jj58h","Sat Nov 09 18:00:12 +0000 2024"
,,,,,,"false","false",,"Mon Aug 01 15:44:40 +0000 2011","I am President of  UBCTV, an urban broadcast multi media company.  I am a professional journalist and executive producer. check us out on Roku. UBCTV",,,,,,,,,,,,,,,,,,,,,"ubctvnetwork.com","http://www.ubctvnetwork.com","0","23","https://t.co/cT2yJXir82","0","148424","79078","8711","true","346628612","true","false","false","New York City and the World!","2834","Peggy Dodson",,"false","https://pbs.twimg.com/profile_images/1469359649354825728/TtDU6r-r_normal.jpg","","114646","https://twitter.com/PeggyDodson","user","https://x.com/PeggyDodson","PeggyDodson",,"I THINK THERE WAS CHEATING 

New York picked Kamala Harris for president. But a deep dive into data from the 2024 presidential election shows the Empire State has become much redder overall in just four years. For example, five counties that voted for... 
https://t.co/zXgrvZF1jZ","Sat Nov 09 17:58:55 +0000 2024"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1519661185335009280/1667139038","Thu Apr 28 12:54:21 +0000 2022","Real. Fearless. American Patriots.",,,,,,,,,,,,,,,,,,,,,"conservativebrief.com","https://conservativebrief.com","0","23","https://t.co/Tsxb1n7Q1s","0","1222","205419","224","false","1519661185335009280","false","false","false","United States","5377","Conservative Brief",,"false","https://pbs.twimg.com/profile_images/1586722167202480129/ibppkwCz_normal.jpg","","20216","https://twitter.com/ConservBrief","user","https://x.com/ConservBrief","ConservBrief","Business","What do you notice about this picture of Democrats after Donald Trump secured his victory in the 2024 Presidential Election? https://t.co/uqIlAtDpXq","Sat Nov 09 17:07:03 +0000 2024"
