"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
,,,,,,"false","false",,"Wed Jan 25 05:46:34 +0000 2017","TinaGLong@bsky. always learning. still trying to curb my fears. still a potter. 💕💙",,,,,,,,,,,,,,,,"0","151455","3554","1659","true","824131327276515329","true","false","false","","402","Tina M Long",,"false","https://pbs.twimg.com/profile_images/1729745730590613504/_5Ib1S7W_normal.jpg","","77177","https://twitter.com/TinaMGLong","user","https://x.com/TinaMGLong","TinaMGLong",,"@mjfree Of course I believe Trump cheated to win the election 💙 they all cheated. I will never believe different.","Wed Nov 20 23:57:25 +0000 2024"
,,,,,,"true","true","https://pbs.twimg.com/profile_banners/810055220/1658200158","Sat Sep 08 02:57:01 +0000 2012","Constitutional Conservative | BREAKING NEWS & Political Commentary | Proud American 🇺🇸",,,,,,,,,,,"linktr.ee/proudelephantus","https://linktr.ee/proudelephantus","0","23","https://t.co/OUlE6RDFJT","0","125049","448286","26702","true","810055220","true","false","false","United States","23621","Proud Elephant 🇺🇸🦅","1856523702600392865","false","https://pbs.twimg.com/profile_images/1551428646539247616/TBTANEZw_normal.jpg","","126084","https://twitter.com/ProudElephantUS","user","https://x.com/ProudElephantUS","ProudElephantUS",,"🚨JUST IN: Ellen DeGeneres says she is moving to Great Britain and is “NEVER coming back” after President Trump’s election win.

YOUR REACTION? 🤔 https://t.co/lUpJUHO4t0","Wed Nov 20 23:38:34 +0000 2024"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/1493728185040596998/1672822950","Tue Feb 15 23:25:48 +0000 2022","🎥 Independent Media | Follow & Hit The 🔔",,,,,,,,,,,,,,,,"0","20699","65719","0","false","1493728185040596998","true","false","false","Oakland, CA","3751","BAY AREA STATE OF MIND","1854065630422716656","false","https://pbs.twimg.com/profile_images/1676395993666056193/Pm_JquC4_normal.jpg","","7493","https://twitter.com/YayAreaNews","user","https://x.com/YayAreaNews","YayAreaNews",,"Ellen DeGeneres has moved to Great Britain and says she is ""never coming back"" to the United States after Trump's election win https://t.co/0eLNKbN9bC","Wed Nov 20 23:36:16 +0000 2024"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/4470351255/1720952917","Sun Dec 13 13:01:37 +0000 2015","🦅Proud American🦅🇺🇸MAGA🇺🇸Sarcastic Bastard 🇺🇸Pureblood🩸🇺🇸BackTheBlue🇺🇸Cancer survivor🇺🇸Pro-life💯🙏🇺🇸I like to make jokes 👍No lists🚫",,,,,,,,,,,,,,,,"0","88608","298817","191095","true","4470351255","true","false","false","","29890","DK🇺🇸🦅🇺🇸","1822316074391535976","false","https://pbs.twimg.com/profile_images/1541200919618011137/Yzl0b3x2_normal.jpg","","294133","https://twitter.com/1Nicdar","user","https://x.com/1Nicdar","1Nicdar",,"Ellen DeGeneres kept her promise and has moved to Great Britain following Trump’s win. https://t.co/DxmRlTEbAB","Wed Nov 20 23:35:41 +0000 2024"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1528943647185678336/1732853430","Tue May 24 03:39:54 +0000 2022","Leading source for breaking news.",,,,,,,,,,,"theleadingreport.com","http://theleadingreport.com","0","23","https://t.co/XVDyDAgScW","0","22","698280","64","true","1528943647185678336","true","false","false","","1239","Leading Report",,"false","https://pbs.twimg.com/profile_images/1617059782908575746/ybOW2sxh_normal.jpg","","4873","https://twitter.com/LeadingReport","user","https://x.com/LeadingReport","LeadingReport",,"BREAKING: Ellen DeGeneres moves to Great Britain and says she is “never coming back” after Trump’s election win. https://t.co/HyrQYDQIvM","Wed Nov 20 23:34:32 +0000 2024"
,,,,,,"true","true","https://pbs.twimg.com/profile_banners/1318263321745907713/1658546724","Mon Oct 19 18:51:03 +0000 2020","Join me weekdays at WFJB AM 1776 (parody account) MAGA🇺🇸 With Great Power, Comes Great Responsibility 💥Dinesh, Ryan Fournier. No DMs No Porn.",,,,,,,,,,,,,,,,"0","84798","357553","19381","true","1318263321745907713","true","false","false","","66033","Johnny Midnight ⚡️","1832221767038910527","false","https://pbs.twimg.com/profile_images/1584240283696463977/LiwMfJxT_normal.jpg","","203222","https://twitter.com/its_The_Dr","user","https://x.com/its_The_Dr","its_The_Dr",,"Ellen DeGeneres has ‘fled’ to the UK and is ‘never coming back’ to America after Trump’s win. Thoughts? https://t.co/b3l3kwLZSh","Wed Nov 20 23:32:45 +0000 2024"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/15438913/1663943218","Tue Jul 15 10:17:46 +0000 2008","For the latest updates on breaking news visit our website https://t.co/cs4EQ2odpE #seriouslypopular","dailymail.co.uk","http://dailymail.co.uk","58","81","https://t.co/cs4EQ2odpE",,,,,,"dailymail.com","http://www.dailymail.com","0","23","https://t.co/7WEFA27EgH","0","627","2849088","2156","true","15438913","true","false","false","","206965","Daily Mail Online","1858857768268054809","false","https://pbs.twimg.com/profile_images/1573318003554455553/f0lnn5Bv_normal.jpg","","660212","https://twitter.com/MailOnline","user","https://x.com/MailOnline","MailOnline",,"Ellen DeGeneres and Portia de Rossi moving to ENGLAND after Trump win as they become latest stars to flee US https://t.co/qlgUpv2fNI https://t.co/spQv1TXyh5","Wed Nov 20 23:31:14 +0000 2024"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1043185714437992449/1700734478","Fri Sep 21 17:10:30 +0000 2018","The turd you can’t flush.",,,,,,,,,,,,,,,,"0","158985","3250565","10757","true","1043185714437992449","true","false","false","","10576","Catturd ™","1842303237187330470","false","https://pbs.twimg.com/profile_images/1043187066832650240/6iaOQ7xL_normal.jpg","","133683","https://twitter.com/catturd2","user","https://x.com/catturd2","catturd2",,"Breaking … 

Following the Trump win, Gary Busey has moved to Europe. https://t.co/pdDvxh7PFx","Wed Nov 20 23:27:44 +0000 2024"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1622588070246641666/1675799350","Mon Feb 06 13:28:50 +0000 2023","News and alerts from around the world, from an America First perspective. Not affiliated with any organization, podcast, or activist.",,,,,,,,,,,"AFpost.news","http://AFpost.news","0","23","https://t.co/yXHSYwFkWd","0","1018","111924","0","false","1622588070246641666","true","false","false","","15522","AF Post",,"false","https://pbs.twimg.com/profile_images/1623046069109006343/nPSI3ntN_normal.jpg","","25073","https://twitter.com/AFpost","user","https://x.com/AFpost","AFpost",,"Ellen Degeneres flees to rural England with her “wife” after Trump’s election win.

Follow: @AFpost https://t.co/uKAFskhIrK","Wed Nov 20 23:27:28 +0000 2024"
,,,,,,"true","true","https://pbs.twimg.com/profile_banners/1221462414744596483/1675139829","Sun Jan 26 15:58:45 +0000 2020","Pro-democracy conservatives Republicans fighting Trump & Trumpism. Please support our work: https://t.co/FkmisNic4X","buymeacoffee.com/RFJBIDENj","http://buymeacoffee.com/RFJBIDENj","92","115","https://t.co/FkmisNic4X",,,,,,"instagram.com/republicansaga…","https://www.instagram.com/republicansagainsttrump/profilecard/?igsh=MXM4OGZ0cHRiOGdmMg==","0","23","https://t.co/T5WLe2N06i","0","119310","779141","4878","true","1221462414744596483","true","false","false","United States","21446","Republicans against Trump","1857058094905278937","false","https://pbs.twimg.com/profile_images/1552023520347099136/tIGoFfQt_normal.jpg","","115245","https://twitter.com/RpsAgainstTrump","user","https://x.com/RpsAgainstTrump","RpsAgainstTrump",,"Community Notes for the win. https://t.co/wl9cV1uq5Q","Wed Nov 20 23:24:28 +0000 2024"
