"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
,,,,,"false","true","https://pbs.twimg.com/profile_banners/1464653684961423362/1730298980","Sat Nov 27 17:54:00 +0000 2021","Don't get triggered lib",,,,,,,,,,,,,,"0","11210","177","391","true","1464653684961423362","false","false","false","","516","1854074299981705228","false","https://pbs.twimg.com/profile_images/1863264295175299072/qkQLOR1f_normal.jpg","","4999","https://twitter.com/Dodo694201337","user","https://x.com/Dodo694201337","Dodo694201337","@RealShatta1 @MJFINESSELOVER @B7Album I don't use it as reference either but it at least shows that there is momentum. 
f.e. nobody bet on RFK Jr when he ran because he couldn't win. Trump can and will win.","Sat Oct 26 23:59:58 +0000 2024"
,,,,,"false","true","https://pbs.twimg.com/profile_banners/1656851100765417472/1725307319","Fri May 12 02:38:19 +0000 2023","Thought muller and sharer 🤔🧐🤓🙃",,,,,,,,,,,,,,"0","17182","286","911","false","1656851100765417472","false","false","false","🇺🇸","465",,"false","https://pbs.twimg.com/profile_images/1848024362391056384/o3Dh8WKr_normal.jpg","","12844","https://twitter.com/SchmimHolly","user","https://x.com/SchmimHolly","SchmimHolly","@simonateba @MichelleObama She knows Trump will win.","Sat Oct 26 23:59:57 +0000 2024"
,,,,,"false","true","https://pbs.twimg.com/profile_banners/18787733/1731071864","Fri Jan 09 01:39:15 +0000 2009","Trump could not win without Russia",,,,,,,,,,,,,,"0","3052","58520","71844","true","18787733","false","false","false","iPhone: 26.428280,-80.122902","21396",,"false","https://pbs.twimg.com/profile_images/1854875909506916353/2qaHHAdr_normal.jpg","","207582","https://twitter.com/we_dems","user","https://x.com/we_dems","we_dems","@MeidasTouch Is JD worse then Trump.","Sat Oct 26 23:59:49 +0000 2024"
,,,,,"false","true",,"Fri Jan 20 01:39:16 +0000 2023","",,,,,,,,,,,,,,"0","312","339","155","false","1616248694965211137","false","false","false","","0",,"false","https://pbs.twimg.com/profile_images/1616248965938266112/UkP3V1Lo_normal.png","","359","https://twitter.com/RohdeCabot","user","https://x.com/RohdeCabot","RohdeCabot","Since Haley believes Trump can't win, he definitely doesn't need her in his administration when he wins on 11/5/2024!","Sat Oct 26 23:59:35 +0000 2024"
,,,,,"true","true",,"Tue Aug 08 07:58:04 +0000 2023","Deneyim karar an",,,,,,,,,,,,,,"0","788","40","100","false","1688821810668736512","false","false","false","","34",,"false","https://pbs.twimg.com/profile_images/1688822035126849536/NloKokiq_normal.jpg","","2063","https://twitter.com/volkanvolk33500","user","https://x.com/volkanvolk33500","volkanvolk33500","@stockbella @realDonaldTrump Thinking of voting for Trump? Here are three reasons not to:

1. His tweets are more divisive than family dinners on Thanksgiving.

2. His policies make you wonder if he skipped Civics class.

3. If his legal troubles were a TV series, it’d win an Emmy for drama! 📺😂""","Sat Oct 26 23:59:34 +0000 2024"
,,,,,"false","true","https://pbs.twimg.com/profile_banners/1396230275718320128/1722440418","Sat May 22 22:23:45 +0000 2021","Patriot and truth seeker",,,,,,,,,,,,,,"0","6365","442","313","false","1396230275718320128","false","false","false","Freehold, NJ","2436",,"false","https://pbs.twimg.com/profile_images/1818673045541642240/PdNaqcCY_normal.jpg","","15621","https://twitter.com/DoriAnn43271094","user","https://x.com/DoriAnn43271094","DoriAnn43271094","@acnewsitics There was a fight and people walked out because kamala lied about Beyonce. Beyonce said in a short interview that she didn't wanna be there. Kamala had to pay her 10 million just to speak. Kamala is done. Its over. P Diddy people are dragging her down. Trump is going to win","Sat Oct 26 23:59:32 +0000 2024"
,,,,,"false","true",,"Sat Oct 29 15:42:28 +0000 2022","Former journalist and new author of book ‘Fake News, A Novel’",,,,,,,,,,,,,,"0","62","231","137","true","1586382942842093570","false","false","false","Washington, DC","562",,"false","https://pbs.twimg.com/profile_images/1586383108349239296/L10UvbxO_normal.jpg","","4049","https://twitter.com/AuthorTWilson","user","https://x.com/AuthorTWilson","AuthorTWilson","@todd_phillippi @FischerKing64 Here’s the reality.  Trump is going to win.  @GOP will take house and senate.  Trump will be allowed to do whatever he wants.","Sat Oct 26 23:59:31 +0000 2024"
,,,,,"false","true",,"Tue May 09 21:33:58 +0000 2023","Just an ordinary man, doing extraordinary things offgrid with very little money.",,,,,,,,,,,,,,"0","492","17","42","false","1656049639165149184","false","false","false","","1",,"false","https://pbs.twimg.com/profile_images/1760711848142458881/RQAo2_sI_normal.jpg","","826","https://twitter.com/zepe45195","user","https://x.com/zepe45195","zepe45195","@JoeBiden @KamalaHarris @DebHaalandNM Americans are tired of you and the B.S. If you worked on it since day one, why did it take 4 years to get done? You are a disgrace to our country. Your policies sucked from day one. You did help Donald Trump win this time around, and for that, I thank you. 😊","Sat Oct 26 23:59:29 +0000 2024"
,,,,,"false","true",,"Wed Jun 26 19:52:53 +0000 2024","Husband, Dad, Pappy! 🇺🇸 1st. USAF Vet. Gotta go fishin'",,,,,,,,,,,,,,"0","34447","270","152","false","1806052957181616128","false","false","false","KY","29",,"false","https://pbs.twimg.com/profile_images/1806058297050456065/UK_6cnkF_normal.jpg","","453","https://twitter.com/DavesOnTheBoat","user","https://x.com/DavesOnTheBoat","DavesOnTheBoat","Ready to celebrate a Trump win! https://t.co/CBXKaePGGX","Sat Oct 26 23:59:26 +0000 2024"
,,,,,"false","false","https://pbs.twimg.com/profile_banners/915877178/1542483677","Wed Oct 31 01:21:56 +0000 2012","Tournament bass fisherman, commercial fisherman, and one hell of a Builder. Life's short so live life to its fullest",,,,,,,,,,,,,,"0","54808","1376","1350","false","915877178","false","false","false","OREGON","94",,"false","https://pbs.twimg.com/profile_images/1063879094788481024/BkRzKSZc_normal.jpg","","33371","https://twitter.com/doberacker","user","https://x.com/doberacker","doberacker","@jjauthor If true Trump will win the POPULAR VOTE even with losing NY, CA,OR,WA","Sat Oct 26 23:59:24 +0000 2024"
,,,,,"true","true","https://pbs.twimg.com/profile_banners/254433586/1616724425","Sat Feb 19 07:55:04 +0000 2011","I am a Retired Disabled American Veteran, US Army. We will NOT heal until Trump is in prison, where he cannot spread his poison...#BlackLivesMatter..VACCINATED",,,,,,,,,,,,,,"0","7942","1443","1752","true","254433586","false","false","false","Washington State, Seattle","4980","1577899522927513600","false","https://pbs.twimg.com/profile_images/1375268272770191360/4wV5eYqh_normal.jpg","","28900","https://twitter.com/81stinfbde","user","https://x.com/81stinfbde","81stinfbde","16/20 when it comes to saving our country and its Democracy. When this situation got SO BAD that there was even a slight chance Trump could win, EVERYONE has come out of the woodwork and have told us how DANGEROUS Trump is. Bruce Springsteen, a symbol of a patriot and a rock and","Sat Oct 26 23:59:23 +0000 2024"
,,,,,"true","true","https://pbs.twimg.com/profile_banners/254433586/1616724425","Sat Feb 19 07:55:04 +0000 2011","I am a Retired Disabled American Veteran, US Army. We will NOT heal until Trump is in prison, where he cannot spread his poison...#BlackLivesMatter..VACCINATED",,,,,,,,,,,,,,"0","7942","1443","1752","true","254433586","false","false","false","Washington State, Seattle","4980","1577899522927513600","false","https://pbs.twimg.com/profile_images/1375268272770191360/4wV5eYqh_normal.jpg","","28900","https://twitter.com/81stinfbde","user","https://x.com/81stinfbde","81stinfbde","10/20 on ensuring they WIN this election. They have already started lawsuits, and Trump has ONCE again started claiming this election is fraudulent...the Democrats were once again ""cheating"". He KNOWS it works and is using it again. Trump claims the Democrats cheated in the 2020","Sat Oct 26 23:59:21 +0000 2024"
,,,,,"false","false",,"Mon Aug 05 02:34:10 +0000 2019","",,,,,,,,,,,,,,"0","40131","193","708","true","1158204518179454976","true","false","false","Kirkland, Québec","5",,"false","https://pbs.twimg.com/profile_images/1381767100507754498/rX6Vm-CI_normal.jpg","","1715","https://twitter.com/SAR99333752","user","https://x.com/SAR99333752","SAR99333752","@realDonaldTrump Donald JTrump has been the most loyal to the American people and he deserves to win!! In boc’al lupo President Trump!!","Sat Oct 26 23:59:19 +0000 2024"
,,,,,"false","true","https://pbs.twimg.com/profile_banners/1559256632650895360/1718562025","Mon Aug 15 19:12:35 +0000 2022","Our Republic is worth fighting for.  Avid outdoorsman, small family business owner behind enemy lines.",,,,,,,,,,,,,,"0","47700","469","541","true","1559256632650895360","true","false","false","Taxifornia USSA","1479","1809693581885730883","false","https://pbs.twimg.com/profile_images/1648512889232424961/w7jBQ1SB_normal.jpg","","7640","https://twitter.com/finn_bestdog","user","https://x.com/finn_bestdog","finn_bestdog","@ElizLanders @Logically_JC Yeah no shit.  Trump/Vance supporters sniffed it out within hours.  We don't need fake news to win.","Sat Oct 26 23:59:19 +0000 2024"
,,,,,"false","false","https://pbs.twimg.com/profile_banners/1272065229426511872/1592200058","Sun Jun 14 07:16:25 +0000 2020","Brücken bauen ist heute in fast allen Bereichen wichtiger denn je.",,,,,,,,,,,,,,"0","643","72","116","false","1272065229426511872","false","false","false","Kerken, Deutschland ","21",,"false","https://pbs.twimg.com/profile_images/1272250941325094912/YwndvSFW_normal.jpg","","2841","https://twitter.com/TobiasLorenz13","user","https://x.com/TobiasLorenz13","TobiasLorenz13","@GOP Absolutely bullshit!!!! With a Trump win, the new World order will start without  the USA","Sat Oct 26 23:59:15 +0000 2024"
,,,,,"false","true","https://pbs.twimg.com/profile_banners/1518673567575162880/1729466926","Mon Apr 25 19:29:48 +0000 2022","#Christian ✝️ #Conservative
Owner @mtnlaurelstore @wvbigfootmuseum & Founder @bigfootfestival
Amateur #historian #cryptozoologist 
Verified lizard person 🦎",,,,,,,,,,,,,,"0","2033","6127","4691","false","1518673567575162880","true","false","false","Sutton, WV","958","1795104170036387867","false","https://pbs.twimg.com/profile_images/1600647662516281345/tEOKBtzs_normal.jpg","","7785","https://twitter.com/DSPetolicchio","user","https://x.com/DSPetolicchio","DSPetolicchio","@realDonaldTrump Trump is going to win PA","Sat Oct 26 23:59:15 +0000 2024"
,,,,,"false","true",,"Fri Nov 15 02:13:03 +0000 2013","",,,,,,,,,,,,,,"0","90","129","538","true","2195215711","false","false","false","Texas, USA","0",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","361","https://twitter.com/DerekMiiller","user","https://x.com/DerekMiiller","DerekMiiller","@joannefern61 @alexbruesewitz Yeah cause Trump never did this when he was running for re-election. And he actually was the president. She is not.","Sat Oct 26 23:58:10 +0000 2024"
,,,,,"false","true","https://pbs.twimg.com/profile_banners/317724704/1630503494","Wed Jun 15 11:25:57 +0000 2011","Blue in red gerrymandered vote flipping Ohio! #TrumpIncitedInsurrection",,,,,,,,,,,,,,"0","13685","1898","4570","true","317724704","false","false","false","","128424",,"false","https://pbs.twimg.com/profile_images/1263543171327418373/Yf48zaQJ_normal.jpg","","431797","https://twitter.com/MaryWebb7","user","https://x.com/MaryWebb7","MaryWebb7","Amnesia? Trump deliberately let Americans die of Covid for his campaign after learning more Blacks and Browns were dying in Blue states thinking blaming their Governors would help his re-election! Half a million Americans were sacrificed at the altar of Trump! He slaughtered us! https://t.co/BWgXwiKsQD","Sat Oct 26 23:52:24 +0000 2024"
,,,,,"false","true","https://pbs.twimg.com/profile_banners/317724704/1630503494","Wed Jun 15 11:25:57 +0000 2011","Blue in red gerrymandered vote flipping Ohio! #TrumpIncitedInsurrection",,,,,,,,,,,,,,"0","13685","1898","4570","true","317724704","false","false","false","","128424",,"false","https://pbs.twimg.com/profile_images/1263543171327418373/Yf48zaQJ_normal.jpg","","431797","https://twitter.com/MaryWebb7","user","https://x.com/MaryWebb7","MaryWebb7","Amnesia? Trump deliberately let Americans die of Covid for his campaign after learning more Blacks and Browns were dying in Blue states thinking blaming their Governors would help his re-election! Half a million Americans were sacrificed at the altar of Trump! He slaughtered us! https://t.co/wrJU2FdOdh","Sat Oct 26 23:48:59 +0000 2024"
,,,,,"false","true","https://pbs.twimg.com/profile_banners/317724704/1630503494","Wed Jun 15 11:25:57 +0000 2011","Blue in red gerrymandered vote flipping Ohio! #TrumpIncitedInsurrection",,,,,,,,,,,,,,"0","13685","1898","4570","true","317724704","false","false","false","","128424",,"false","https://pbs.twimg.com/profile_images/1263543171327418373/Yf48zaQJ_normal.jpg","","431797","https://twitter.com/MaryWebb7","user","https://x.com/MaryWebb7","MaryWebb7","Amnesia? Trump deliberately let Americans die of Covid for his campaign after learning more Blacks and Browns were dying in Blue states thinking blaming their Governors would help his re-election! Half a million Americans were sacrificed at the altar of Trump! He slaughtered us! https://t.co/gBN8PhMOGB","Sat Oct 26 23:47:28 +0000 2024"
,,,,,"false","true","https://pbs.twimg.com/profile_banners/1531993611629363201/1731711107","Wed Jun 01 13:38:59 +0000 2022","America First 🇺🇸 | Christ is King 👑 | Dragon Believer 🐉",,,,,,,,,,,,,,"0","9225","174","37","false","1531993611629363201","false","false","false","Texas","619","1857845644880392194","false","https://pbs.twimg.com/profile_images/1861716028935245824/h5JNIiOF_normal.jpg","","3412","https://twitter.com/Vox_Americana_","user","https://x.com/Vox_Americana_","Vox_Americana_","The Left had 2 years to create a strategy to win re-election and instead focused on:

“Trump is evil”
“Trump did everything wrong”
“Trump is Hitler”
“Trump hates you”
“Orange man bad”

Americans are ready for the #GreatAmericanComeback","Sat Oct 26 23:44:47 +0000 2024"
,,,,,"false","false","https://pbs.twimg.com/profile_banners/584913961/1715270403","Sat May 19 16:42:58 +0000 2012","🙏🇺🇲",,,,,,,,,,,,,,"0","3550","1433","2339","false","584913961","false","false","false","USA","106",,"false","https://pbs.twimg.com/profile_images/378800000406191463/85f9bcf6ab6d0127b0a4651e5e98f1c7_normal.jpeg","","61946","https://twitter.com/cherokejac","user","https://x.com/cherokejac","cherokejac","@RogerJStoneJr @StoneJAlex Todd Young from In refused to endorse Trump along with Pence. Young will be up for re-election in 26. #Rino establishment. Needs to go","Sat Oct 26 23:04:31 +0000 2024"
,,,,,"false","false","https://pbs.twimg.com/profile_banners/1770291743503904769/1713131516","Wed Mar 20 03:30:27 +0000 2024","Pronouns: Unite, or Die. Creed: Liberty or Death!",,,,,,,,,,,,,,"0","6182","212","77","false","1770291743503904769","true","false","false","","162","1826209489567068226","false","https://pbs.twimg.com/profile_images/1779628253189136384/waZEyDp0_normal.jpg","","5280","https://twitter.com/unite_or_die","user","https://x.com/unite_or_die","unite_or_die","@DrEliDavid In 2 weeks Israel will unleash the greatest attack against islamics. They just waiting for Trump re-election","Sat Oct 26 23:02:44 +0000 2024"
,,,,,"false","true","https://pbs.twimg.com/profile_banners/1107447678/1640123567","Sun Jan 20 22:29:47 +0000 2013","Canadian/Australian.
Lover of top tier middle-of-the-roadism.
Despiser of science deniers.",,,,,,,,,,,,,,"0","15820","441","809","false","1107447678","false","false","false","South West Slopes, Australia.","1108",,"false","https://pbs.twimg.com/profile_images/1863121574552834048/h7tpsvCc_normal.jpg","","11894","https://twitter.com/MarekBage","user","https://x.com/MarekBage","MarekBage","@TheRocsWorld He said Michigan, not Wisconsin.
But accurate otherwise.

The thing that struck me was that he also spoke of the first Trump presidency as a kind of aberration where Europe held it's breath until it passed.
With the real prospect of a re-election, the USA is no longer dependable.","Sat Oct 26 22:21:52 +0000 2024"
,,,,,"false","true","https://pbs.twimg.com/profile_banners/1082585659/1623034128","Sat Jan 12 10:47:20 +0000 2013","Prof Emeritus, Kyoto Univ. Director General, Nakatsuji Foresight Foundation. CEO, Kyoto Stem Cell Innovation, Inc. Chief Advisor, Stem Cell & Device Lab, Inc.",,,,,,,,,"nakatsuji-ff.org/about/","http://nakatsuji-ff.org/about/","0","23","https://t.co/l17r48REGn","0","5292","15914","106","true","1082585659","false","false","false","Kyoto (日本), Hakodate (日本), etc","1527","1837061840834306292","false","https://pbs.twimg.com/profile_images/1747167426834554880/9Wx0RwrH_normal.jpg","","320348","https://twitter.com/norionakatsuji","user","https://x.com/norionakatsuji","norionakatsuji","“Former president, who recently called US a ‘a garbage can for the world’, has eyes on revenge in re-election campaign“

[Trump’s final pitch to voters: retribution vows, vulgar rallies, fascist accusations | US elections 2024 | The Guardian] https://t.co/aAQeFIQB2Z","Sat Oct 26 22:19:44 +0000 2024"
,,,,,"true","true","https://pbs.twimg.com/profile_banners/1821223999600283648/1728403742","Wed Aug 07 16:37:11 +0000 2024","",,,,,,,,,,,,,,"0","2911","91","177","false","1821223999600283648","true","false","false","Everywhere","1193","1856164943961231438","false","https://pbs.twimg.com/profile_images/1844874664335536143/XAYuhZFF_normal.jpg","","6522","https://twitter.com/KostolomSavage","user","https://x.com/KostolomSavage","KostolomSavage","All democrats do is lie 

They manufactured Covid just to sabotage Trump’s re-election year just so they could spew talking points like this.","Sat Oct 26 22:11:46 +0000 2024"
,,,,,"false","true","https://pbs.twimg.com/profile_banners/1820808908111597568/1722951109","Tue Aug 06 13:08:03 +0000 2024","Mainly here to share AI-related content, some news, and anything I find cool or interesting.",,,,,,,,,,,,,,"0","33235","136","716","false","1820808908111597568","false","false","false","","22",,"false","https://pbs.twimg.com/profile_images/1820810149063225344/SY2eEGAs_normal.jpg","","604","https://twitter.com/NumbersGuy24","user","https://x.com/NumbersGuy24","NumbersGuy24","@B_Jones2009 @kylegriffin1 Most of Trump's former staff including those closest to his administration says he's incompetent and unfit and do not support his re-election.  Hmm.","Sat Oct 26 22:08:39 +0000 2024"
