"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
,,,,,,"true","true","https://pbs.twimg.com/profile_banners/1158139840866791424/1720156634","Sun Aug 04 22:17:10 +0000 2019","The largest collection of malware source code, samples, and papers on the internet.

Password: infected",,,,,,,,,,,"vx-underground.org","https://vx-underground.org","0","23","https://t.co/Yn4orDEAhs","0","9712","337538","230","false","1158139840866791424","true","false","false","International","4506","vx-underground","1839283542771085707","false","https://pbs.twimg.com/profile_images/1860511910635978752/KKMOfPK0_normal.jpg","","13188","https://twitter.com/vxunderground","user","https://x.com/vxunderground","vxunderground",,"A woman's rant is going semi-viral in political circles on Twitter and Facebook. Some are citing her rant as evidence of potential electoral interference during the 2024 Presidential election.

The woman's opening remarks claim she possesses a CCIE (Cisco Certified Internetwork Expert) — a very prestigious certification which is often possessed by truly dedicated people. 

Currently there are only 45,000 active CCIE holders worldwide. Only 3% of Cisco cert holders attempt it ... and only 26% pass — it has a 74% failure rate.

Now it should be stated that no one in our group possesses a CCIE. We do not claim to be network experts, we're just malware nerds. However, despite our lackluster understanding of networking (beyond the computer science basics of the OSI model), we can confidently say this woman does not possess a CCIE and we believe she is lying.

Additionally, we would like to note we did indeed watch this entire video. Despite this woman's jargon and clear ... plainly wrong information... we decided to give her a chance to speak her mind and opinion.

We do not recommend watching the entire 8 minute video. You will have no benefit from it. At roughly 4 minutes you will see, very clearly, this is not a technical person.","Mon Nov 11 23:03:03 +0000 2024"
,,,,,,"true","true","https://pbs.twimg.com/profile_banners/1650611905520697344/1729912756","Mon Apr 24 21:25:32 +0000 2023","The One and Only Wyatt. 

I get my way, get out my way. No mistakes, I know the stakes, yeah  yeah.",,,,,,,,,,,,,,,,"0","162414","162028","6987","false","1650611905520697344","true","false","false","","287","Wyatt",,"false","https://pbs.twimg.com/profile_images/1839126879468478464/pvJSM-I9_normal.jpg","","1924","https://twitter.com/austerrewyatt1","user","https://x.com/austerrewyatt1","austerrewyatt1",,"Not just the Presidential election, but now we've seen blatant rigging in the house and senate elections. Time to investigate 2020 AND 2024 and humiliate the Democrats. I'd like to see them not only humiliated but completely destroyed.","Mon Nov 11 20:30:45 +0000 2024"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/821173833428242434/1606185842","Tue Jan 17 01:54:33 +0000 2017","#MAGA US citizen that loves America. God family country. Grace changes everything #USMilitary 1A 2A locked in 2020 freed by Elon in 2023 🇺🇸IFBP",,,,,,,,,,,,,,,,"0","88539","32036","27010","true","821173833428242434","true","false","false","Pennsylvania, USA","10479","FedUpWithGovmt","1857066544657821909","false","https://pbs.twimg.com/profile_images/1758651101832753152/J_ClJGbt_normal.jpg","","180923","https://twitter.com/FedUpWithGovmt","user","https://x.com/FedUpWithGovmt","FedUpWithGovmt",,"LOL

Awesome You can't make it up 🤣

Lindy Li — who sits on the Democratic National Committee's finance committee — slammed the Harris campaign for allegedly misleading Democratic donors about Kamala's chances of winning the 2024 presidential election.

https://t.co/vNdAscDt9A","Mon Nov 11 19:06:34 +0000 2024"
,,,,,,"true","true","https://pbs.twimg.com/profile_banners/1209936918/1688746620","Fri Feb 22 22:24:39 +0000 2013","Visit https://t.co/GiuVgMa6TZ to enjoy OAN’s 24/7 LIVE streaming app today. #OAN","live.oann.com","http://live.oann.com","6","29","https://t.co/GiuVgMa6TZ",,,,,,"oann.com","https://www.oann.com","0","23","https://t.co/FOXbfe588g","0","9782","2205205","97","true","1209936918","true","false","false","","35501","One America News","1861883573021847828","false","https://pbs.twimg.com/profile_images/579744264751448064/DH0xDrdO_normal.jpg","","170862","https://twitter.com/OANN","user","https://x.com/OANN","OANN","Business","The Final Results Of The 2024 Presidential Election. 
Via Reuters

#OAN #Election #DonaldTrump #KamalaHarris #President #Results https://t.co/c3T0eU7n39","Mon Nov 11 19:00:33 +0000 2024"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1137100464997015552/1731351415","Fri Jun 07 20:54:11 +0000 2019","Join neuroscientist, philosopher, and bestselling author Sam Harris as he explores the mind, society, and current events. Account run by Team Sam.",,,,,,,,,,,"samharris.org","http://samharris.org","0","23","https://t.co/DAg1k6I5Sl","0","7","25323","17","false","1137100464997015552","false","false","false","","47","Making Sense Podcast","1856048007910707631","false","https://pbs.twimg.com/profile_images/1742281844198891520/yB7pF0vI_normal.jpg","","394","https://twitter.com/MakingSenseHQ","user","https://x.com/MakingSenseHQ","MakingSenseHQ","Business","NEW PODCAST EPISODE

Sam Harris discusses the result of the 2024 presidential election, the lessons that the Democratic Party should draw from it, and the implications of a second Trump term. https://t.co/5nCT7YK6Tt","Mon Nov 11 18:55:03 +0000 2024"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1643389928183562240/1713303666","Tue Apr 04 23:07:59 +0000 2023","Classical Philosophy Entertainer, Natural Law, Non-Marxist/Non-communist, #GoBills",,,,,,,,,,,,,,,,"0","43776","34334","27830","false","1643389928183562240","true","false","false","","2554","TPB 🇺🇲","1862217515578839350","false","https://pbs.twimg.com/profile_images/1780347798338080768/apRlnanE_normal.jpg","","25243","https://twitter.com/TheClassicPhil","user","https://x.com/TheClassicPhil","TheClassicPhil",,"To all my Liberal friends who want a Recount on The 2024 Presidential Election; I have Great News to tell you...

""There's NO evidence of widespread fraud!"" ☺️✌️💯🇺🇲","Mon Nov 11 18:29:17 +0000 2024"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1731599429822537728/1732437685","Mon Dec 04 09:01:07 +0000 2023","AZ Dem 🌵. I speak in Golden Girls. Johnson and WOW Counties fan. Mike Lawler fan. Elaine Marshall enjoyer. I yap about elections!! he/they",,,,,,,,,,,,,,,,"0","3197","687","898","false","1731599429822537728","true","false","false","Arizona 🏜️","1915","Mike Lawler Stan (Mich)",,"false","https://pbs.twimg.com/profile_images/1861926880137338880/rSLEhACh_normal.jpg","","10652","https://twitter.com/hochulmandered","user","https://x.com/hochulmandered","hochulmandered",,"It is finished!

This is a map of how every municipality in the WOW Counties voted in the 2024 presidential election.

Kamala Harris clearly gained ground this year. After all, she is the first Democrat to win a municipality in Waukesha County in decades. https://t.co/x1RFZ4cAbW","Mon Nov 11 18:06:10 +0000 2024"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/924154962304815105/1651687844","Sat Oct 28 06:04:47 +0000 2017","The Art Of Dialogue is the number one source for celebrity interviews, bringing you top-tier content.",,,,,,,,,,,"youtube.com/@TheArtOfDialo…","https://youtube.com/@TheArtOfDialogue","0","23","https://t.co/8onbNRIGLW","0","4759","123417","64","true","924154962304815105","true","false","false","Las Vegas, NV","3135","The Art Of Dialogue",,"false","https://pbs.twimg.com/profile_images/1521915007864295430/DXEnd09Y_normal.jpg","","6311","https://twitter.com/ArtOfDialogue_","user","https://x.com/ArtOfDialogue_","ArtOfDialogue_",,"Eddie Griffin reacts to Donald Trump's victory over Kamala Harris in the 2024 presidential election and calls Kamala Harris 'classless.

(🎥 Eddie Griffin/YouTube) https://t.co/Uge8mhFcpx","Mon Nov 11 16:58:25 +0000 2024"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1838019411384352768/1732080731","Mon Sep 23 00:56:02 +0000 2024","Bringing you the latest news, updates, and insights on U.S. elections, Congress, and political developments. Stay informed and ahead of the curve!",,,,,,,,,,,,,,,,"0","298","5031","0","false","1838019411384352768","false","false","false","","143","Elections Focus 🗳️","1861900269463744714","false","https://pbs.twimg.com/profile_images/1854693090553921537/mSyiDoH__normal.jpg","","242","https://twitter.com/ElectionsFocus","user","https://x.com/ElectionsFocus","ElectionsFocus",,"A petition has been launched on https://t.co/bYKFVqlFro, calling for a recount of the 2024 Presidential Election. It has already gathered 9,500 signatures, reflecting widespread concern for electoral transparency. https://t.co/CkXJ3QL5Dt","Mon Nov 11 15:49:07 +0000 2024"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/25202268/1697211688","Thu Mar 19 01:02:12 +0000 2009","@FoxNews Contributor, Award-winning. Host, The Sara Carter Show. IG: ScarterDC, FB: Sara A. Carter https://t.co/9gSVz5bnOc","linktr.ee/saraacarter","http://linktr.ee/saraacarter","99","122","https://t.co/9gSVz5bnOc",,,,,,"saraacarter.com","http://www.saraacarter.com","0","23","https://t.co/7KbvPrRNZv","0","97868","1600093","8086","true","25202268","true","false","false","Washington, D.C.","3277","Sara A. Carter","1860835813715767323","false","https://pbs.twimg.com/profile_images/1606067966419902464/gVi7QYkI_normal.jpg","","54892","https://twitter.com/SaraCarterDC","user","https://x.com/SaraCarterDC","SaraCarterDC",,"2024 Presidential Election Details Unprecedented Diversity Shift in Republican Party   https://t.co/YXTlVq40pq","Mon Nov 11 12:47:54 +0000 2024"
