"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","fullText","createdAt","likeCount","viewCount","retweetCount","replyCount","quoteCount","bookmarkCount","media/0","media/1","media/2","media/3","quoteId","isReply","id","isRetweet","isQuote","inReplyToUserId"
"false","true","https://pbs.twimg.com/profile_banners/28785486/1505493568","Sat Apr 04 12:40:32 +0000 2009","The only official ABC News account. Download our mobile app for the latest updates: https://t.co/LgW7Q5IRpv","abcnews.go.com/devices","https://abcnews.go.com/devices","84","107","https://t.co/LgW7Q5IRpv","abcnews.go.com","https://abcnews.go.com/","0","23","https://t.co/26XEt8onYo","0","60","17814496","432","true","28785486","true","false","false","New York City / Worldwide","195026","ABC News","false","https://pbs.twimg.com/profile_images/1605211963096801282/3flU1i5o_normal.jpg","","460867","https://twitter.com/ABC","user","https://x.com/ABC","ABC","Business","Canadian Prime Minister Justin Trudeau met with Donald Trump Friday night at the president-elect's Mar-a-Lago resort.
Trudeau on Saturday said his conversation with Trump was ""excellent"" but did not respond to any additional questions. https://t.co/Rmdz56ouMb https://t.co/ceV1AyAKBB","Sat Nov 30 17:35:24 +0000 2024","62","36957","22","36","3","4","https://pbs.twimg.com/media/GdplzLBXgAAFcMr.jpg",,,,,"false","1862913331364778062","false","false",
"false","true","https://pbs.twimg.com/profile_banners/28785486/1505493568","Sat Apr 04 12:40:32 +0000 2009","The only official ABC News account. Download our mobile app for the latest updates: https://t.co/LgW7Q5IRpv","abcnews.go.com/devices","https://abcnews.go.com/devices","84","107","https://t.co/LgW7Q5IRpv","abcnews.go.com","https://abcnews.go.com/","0","23","https://t.co/26XEt8onYo","0","60","17814496","432","true","28785486","true","false","false","New York City / Worldwide","195026","ABC News","false","https://pbs.twimg.com/profile_images/1605211963096801282/3flU1i5o_normal.jpg","","460867","https://twitter.com/ABC","user","https://x.com/ABC","ABC","Business","Having won the election and sweeping to power, Republicans are planning an ambitious 100-day agenda with President-elect Donald Trump in the White House and GOP lawmakers in a congressional majority to accomplish their policy goals. https://t.co/ykLp61Adcc","Sat Nov 30 14:41:55 +0000 2024","35","31395","11","30","2","3",,,,,,"false","1862869673739469065","false","false",
"false","true","https://pbs.twimg.com/profile_banners/28785486/1505493568","Sat Apr 04 12:40:32 +0000 2009","The only official ABC News account. Download our mobile app for the latest updates: https://t.co/LgW7Q5IRpv","abcnews.go.com/devices","https://abcnews.go.com/devices","84","107","https://t.co/LgW7Q5IRpv","abcnews.go.com","https://abcnews.go.com/","0","23","https://t.co/26XEt8onYo","0","60","17814496","432","true","28785486","true","false","false","New York City / Worldwide","195026","ABC News","false","https://pbs.twimg.com/profile_images/1605211963096801282/3flU1i5o_normal.jpg","","460867","https://twitter.com/ABC","user","https://x.com/ABC","ABC","Business","Millions of obese Americans would get access to popular weekly injectables that would help them shed pounds quickly if a $35 billion proposal from the Biden administration is embraced by President-elect Donald Trump. https://t.co/LL4WIYi1NZ","Sat Nov 30 07:01:09 +0000 2024","49","28841","16","24","2","7",,,,,,"false","1862753717247746296","false","false",
"false","true","https://pbs.twimg.com/profile_banners/28785486/1505493568","Sat Apr 04 12:40:32 +0000 2009","The only official ABC News account. Download our mobile app for the latest updates: https://t.co/LgW7Q5IRpv","abcnews.go.com/devices","https://abcnews.go.com/devices","84","107","https://t.co/LgW7Q5IRpv","abcnews.go.com","https://abcnews.go.com/","0","23","https://t.co/26XEt8onYo","0","60","17814496","432","true","28785486","true","false","false","New York City / Worldwide","195026","ABC News","false","https://pbs.twimg.com/profile_images/1605211963096801282/3flU1i5o_normal.jpg","","460867","https://twitter.com/ABC","user","https://x.com/ABC","ABC","Business","BREAKING: Canadian Prime Minister Justin Trudeau is in Florida at Mar-a-Lago and is expected to meet with President-elect Donald Trump tonight, according to multiple sources. The expected meeting comes after Trump threatened sweeping tariffs. https://t.co/l588ZPDYT7","Sat Nov 30 00:15:54 +0000 2024","45","37092","15","42","6","2",,,,,,"false","1862651735023513794","false","false",
"false","true","https://pbs.twimg.com/profile_banners/28785486/1505493568","Sat Apr 04 12:40:32 +0000 2009","The only official ABC News account. Download our mobile app for the latest updates: https://t.co/LgW7Q5IRpv","abcnews.go.com/devices","https://abcnews.go.com/devices","84","107","https://t.co/LgW7Q5IRpv","abcnews.go.com","https://abcnews.go.com/","0","23","https://t.co/26XEt8onYo","0","60","17814496","432","true","28785486","true","false","false","New York City / Worldwide","195026","ABC News","false","https://pbs.twimg.com/profile_images/1605211963096801282/3flU1i5o_normal.jpg","","460867","https://twitter.com/ABC","user","https://x.com/ABC","ABC","Business","Millions of obese Americans would get access to popular weekly injectables that would help them shed pounds quickly if a $35 billion proposal from the Biden administration is embraced by President-elect Donald Trump. https://t.co/Uwrwd3X990","Fri Nov 29 12:00:16 +0000 2024","41","26764","8","31","4","6",,,,,,"false","1862466606938427824","false","false",
"false","true","https://pbs.twimg.com/profile_banners/28785486/1505493568","Sat Apr 04 12:40:32 +0000 2009","The only official ABC News account. Download our mobile app for the latest updates: https://t.co/LgW7Q5IRpv","abcnews.go.com/devices","https://abcnews.go.com/devices","84","107","https://t.co/LgW7Q5IRpv","abcnews.go.com","https://abcnews.go.com/","0","23","https://t.co/26XEt8onYo","0","60","17814496","432","true","28785486","true","false","false","New York City / Worldwide","195026","ABC News","false","https://pbs.twimg.com/profile_images/1605211963096801282/3flU1i5o_normal.jpg","","460867","https://twitter.com/ABC","user","https://x.com/ABC","ABC","Business","Millions of obese Americans would get access to popular weekly injectables that would help them shed pounds quickly if a $35 billion proposal from the Biden administration is embraced by President-elect Donald Trump. https://t.co/ChXpouT69Y","Fri Nov 29 05:31:53 +0000 2024","47","30721","16","25","4","6",,,,,,"false","1862368865683968432","false","false",
"false","true","https://pbs.twimg.com/profile_banners/28785486/1505493568","Sat Apr 04 12:40:32 +0000 2009","The only official ABC News account. Download our mobile app for the latest updates: https://t.co/LgW7Q5IRpv","abcnews.go.com/devices","https://abcnews.go.com/devices","84","107","https://t.co/LgW7Q5IRpv","abcnews.go.com","https://abcnews.go.com/","0","23","https://t.co/26XEt8onYo","0","60","17814496","432","true","28785486","true","false","false","New York City / Worldwide","195026","ABC News","false","https://pbs.twimg.com/profile_images/1605211963096801282/3flU1i5o_normal.jpg","","460867","https://twitter.com/ABC","user","https://x.com/ABC","ABC","Business","Despite the disagreements with Trump, Biden said he was thankful for his family and ""for a peaceful transition,"" adding that he's ""really thankful"" to have secured a ceasefire deal between Israel and Hezbollah. https://t.co/S9eyftCYYv https://t.co/7MtZzMAhuD","Fri Nov 29 00:39:16 +0000 2024","94","36566","13","20","0","4","https://pbs.twimg.com/ext_tw_video_thumb/1862295122345414656/pu/img/vocq4FRt0jQMQ7QU.jpg",,,,,"true","1862295227463016624","false","false","28785486"
"false","true","https://pbs.twimg.com/profile_banners/28785486/1505493568","Sat Apr 04 12:40:32 +0000 2009","The only official ABC News account. Download our mobile app for the latest updates: https://t.co/LgW7Q5IRpv","abcnews.go.com/devices","https://abcnews.go.com/devices","84","107","https://t.co/LgW7Q5IRpv","abcnews.go.com","https://abcnews.go.com/","0","23","https://t.co/26XEt8onYo","0","60","17814496","432","true","28785486","true","false","false","New York City / Worldwide","195026","ABC News","false","https://pbs.twimg.com/profile_images/1605211963096801282/3flU1i5o_normal.jpg","","460867","https://twitter.com/ABC","user","https://x.com/ABC","ABC","Business","Donald Trump dined on Wednesday with Mark Zuckerberg at the president-elect’s Mar-a-Lago club in Florida.

The tech titan has been critical of Trump in the past. Now he's appearing to court Trump's favor before his second term.

Read more: https://t.co/81n1KmlJ7D https://t.co/beIykf5daf","Fri Nov 29 00:29:44 +0000 2024","50","38510","21","45","8","5","https://pbs.twimg.com/media/GdgxdK5W0AA9J2T.jpg",,,,,"false","1862292826819641582","false","false",
"false","true","https://pbs.twimg.com/profile_banners/28785486/1505493568","Sat Apr 04 12:40:32 +0000 2009","The only official ABC News account. Download our mobile app for the latest updates: https://t.co/LgW7Q5IRpv","abcnews.go.com/devices","https://abcnews.go.com/devices","84","107","https://t.co/LgW7Q5IRpv","abcnews.go.com","https://abcnews.go.com/","0","23","https://t.co/26XEt8onYo","0","60","17814496","432","true","28785486","true","false","false","New York City / Worldwide","195026","ABC News","false","https://pbs.twimg.com/profile_images/1605211963096801282/3flU1i5o_normal.jpg","","460867","https://twitter.com/ABC","user","https://x.com/ABC","ABC","Business","Mexicans are worried that threats by Donald Trump to impose 25% tariffs could affect a wide range of iconic Mexican products and threaten entire regional economies. https://t.co/ExPBuDs4zn","Thu Nov 28 18:56:47 +0000 2024","38","25569","14","34","2","0",,,,,,"false","1862209036671750503","false","false",
"false","true","https://pbs.twimg.com/profile_banners/28785486/1505493568","Sat Apr 04 12:40:32 +0000 2009","The only official ABC News account. Download our mobile app for the latest updates: https://t.co/LgW7Q5IRpv","abcnews.go.com/devices","https://abcnews.go.com/devices","84","107","https://t.co/LgW7Q5IRpv","abcnews.go.com","https://abcnews.go.com/","0","23","https://t.co/26XEt8onYo","0","60","17814496","432","true","28785486","true","false","false","New York City / Worldwide","195026","ABC News","false","https://pbs.twimg.com/profile_images/1605211963096801282/3flU1i5o_normal.jpg","","460867","https://twitter.com/ABC","user","https://x.com/ABC","ABC","Business","President-elect Donald Trump spoke with Mexico's President Claudia Sheinbaum on Wednesday.

The call took place two days after he announced that he planned to impose a 25% tariff on all imports from Mexico on his first day in the White House. https://t.co/KfBwwYeKEu","Thu Nov 28 18:13:41 +0000 2024","22","27301","12","32","0","3",,,,,,"false","1862198192877580701","false","false",
