"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/description/urls/2/display_url","author/entities/description/urls/2/expanded_url","author/entities/description/urls/2/indices/0","author/entities/description/urls/2/indices/1","author/entities/description/urls/2/url","author/entities/description/urls/3/display_url","author/entities/description/urls/3/expanded_url","author/entities/description/urls/3/indices/0","author/entities/description/urls/3/indices/1","author/entities/description/urls/3/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","fullText","createdAt","likeCount","viewCount","retweetCount","replyCount","quoteCount","bookmarkCount","media/0","media/1","media/2","quoteId","isReply","id","isRetweet","isQuote","inReplyToUserId"
"true","false","https://pbs.twimg.com/profile_banners/3223426134/1729645880","Fri May 22 16:19:26 +0000 2015","Find me at: https://t.co/irDWUjJ8hz

Or: https://t.co/ISkurbutTq
Or: https://t.co/C61aEoBmYZ
Or: https://t.co/cwOaxezty7","sethabramson.bsky.social","http://sethabramson.bsky.social","12","35","https://t.co/irDWUjJ8hz","houndsmusic.substack.com","https://houndsmusic.substack.com/","41","64","https://t.co/ISkurbutTq","sethabramson.substack.com","https://sethabramson.substack.com/","69","92","https://t.co/C61aEoBmYZ","retrostack.substack.com","https://retrostack.substack.com/","97","120","https://t.co/cwOaxezty7","sethabramson.net/bio","http://sethabramson.net/bio","0","23","https://t.co/nFWEuGNTKN","0","25","837956","18","true","3223426134","true","false","false","","7301","Seth Abramson","1863466072113836215","false","https://pbs.twimg.com/profile_images/1696613695307001859/lBx1swSz_normal.jpg","","85393","https://twitter.com/SethAbramson","user","https://x.com/SethAbramson","SethAbramson","Trump’s popular-vote lead keeps narrowing, as Cook Political Report shows in its update from this morning.

Not a single journalist worldwide could credibly call this a mandate. https://t.co/xZQ7qLgoK9","Mon Nov 18 19:23:29 +0000 2024","2063","51938","605","114","15","73","https://pbs.twimg.com/media/GcsLdWaWUAElyXp.jpg",,,,"false","1858591876967764426","false","false",
"true","false","https://pbs.twimg.com/profile_banners/3223426134/1729645880","Fri May 22 16:19:26 +0000 2015","Find me at: https://t.co/irDWUjJ8hz

Or: https://t.co/ISkurbutTq
Or: https://t.co/C61aEoBmYZ
Or: https://t.co/cwOaxezty7","sethabramson.bsky.social","http://sethabramson.bsky.social","12","35","https://t.co/irDWUjJ8hz","houndsmusic.substack.com","https://houndsmusic.substack.com/","41","64","https://t.co/ISkurbutTq","sethabramson.substack.com","https://sethabramson.substack.com/","69","92","https://t.co/C61aEoBmYZ","retrostack.substack.com","https://retrostack.substack.com/","97","120","https://t.co/cwOaxezty7","sethabramson.net/bio","http://sethabramson.net/bio","0","23","https://t.co/nFWEuGNTKN","0","25","837956","18","true","3223426134","true","false","false","","7301","Seth Abramson","1863466072113836215","false","https://pbs.twimg.com/profile_images/1696613695307001859/lBx1swSz_normal.jpg","","85393","https://twitter.com/SethAbramson","user","https://x.com/SethAbramson","SethAbramson","(📢) PROOF: You’re Not the Only Person Who Thinks the Matt Gaetz-for-AG Nomination Is Fishy As Hell

🔗: https://t.co/LfG4kAh1yF

Republicans and Dems are flabbergasted by the Gaetz nom. They should be; it’s not as it seems. Trump is enmeshed in the ethics probe the nom scuttled. https://t.co/u4pbmLnhbQ","Thu Nov 14 18:24:08 +0000 2024","219","36834","120","19","5","15","https://pbs.twimg.com/media/GcXXBcUW8AAsrqV.png",,,,"false","1857127393380483363","false","false",
"true","false","https://pbs.twimg.com/profile_banners/3223426134/1729645880","Fri May 22 16:19:26 +0000 2015","Find me at: https://t.co/irDWUjJ8hz

Or: https://t.co/ISkurbutTq
Or: https://t.co/C61aEoBmYZ
Or: https://t.co/cwOaxezty7","sethabramson.bsky.social","http://sethabramson.bsky.social","12","35","https://t.co/irDWUjJ8hz","houndsmusic.substack.com","https://houndsmusic.substack.com/","41","64","https://t.co/ISkurbutTq","sethabramson.substack.com","https://sethabramson.substack.com/","69","92","https://t.co/C61aEoBmYZ","retrostack.substack.com","https://retrostack.substack.com/","97","120","https://t.co/cwOaxezty7","sethabramson.net/bio","http://sethabramson.net/bio","0","23","https://t.co/nFWEuGNTKN","0","25","837956","18","true","3223426134","true","false","false","","7301","Seth Abramson","1863466072113836215","false","https://pbs.twimg.com/profile_images/1696613695307001859/lBx1swSz_normal.jpg","","85393","https://twitter.com/SethAbramson","user","https://x.com/SethAbramson","SethAbramson","With everything going on, I’m trying to figure out things I can do as a journalist who’s also a lawyer, NYT-bestselling Trump biographer and author of a forthcoming Musk biography. I realize a 20% discount off my work is only a small thing, but here it is: https://t.co/9zHuYwO89c https://t.co/Nt1C81YATz","Wed Nov 13 21:50:43 +0000 2024","84","27254","39","11","0","6","https://pbs.twimg.com/media/GcS9ChgW4AAAX4M.jpg",,,,"false","1856816991538913581","false","false",
"true","false","https://pbs.twimg.com/profile_banners/3223426134/1729645880","Fri May 22 16:19:26 +0000 2015","Find me at: https://t.co/irDWUjJ8hz

Or: https://t.co/ISkurbutTq
Or: https://t.co/C61aEoBmYZ
Or: https://t.co/cwOaxezty7","sethabramson.bsky.social","http://sethabramson.bsky.social","12","35","https://t.co/irDWUjJ8hz","houndsmusic.substack.com","https://houndsmusic.substack.com/","41","64","https://t.co/ISkurbutTq","sethabramson.substack.com","https://sethabramson.substack.com/","69","92","https://t.co/C61aEoBmYZ","retrostack.substack.com","https://retrostack.substack.com/","97","120","https://t.co/cwOaxezty7","sethabramson.net/bio","http://sethabramson.net/bio","0","23","https://t.co/nFWEuGNTKN","0","25","837956","18","true","3223426134","true","false","false","","7301","Seth Abramson","1863466072113836215","false","https://pbs.twimg.com/profile_images/1696613695307001859/lBx1swSz_normal.jpg","","85393","https://twitter.com/SethAbramson","user","https://x.com/SethAbramson","SethAbramson","Here is the CEO of Bluesky: an engineer. Not a billionaire, not Trump’s co-POTUS, not a genuflecting coward like Zuckerberg. And as for Jack Dorsey? He quit Bluesky in May 2024 and urged people to...

...stay with Elon. So if you hate billionaires—and who doesn’t?—go to Bluesky. https://t.co/gsc59dknY6","Wed Nov 13 00:33:29 +0000 2024","933","43557","339","39","10","48","https://pbs.twimg.com/media/GcOYtyIX0AAvnob.jpg",,,,"true","1856495563773972550","false","false","3223426134"
"true","false","https://pbs.twimg.com/profile_banners/3223426134/1729645880","Fri May 22 16:19:26 +0000 2015","Find me at: https://t.co/irDWUjJ8hz

Or: https://t.co/ISkurbutTq
Or: https://t.co/C61aEoBmYZ
Or: https://t.co/cwOaxezty7","sethabramson.bsky.social","http://sethabramson.bsky.social","12","35","https://t.co/irDWUjJ8hz","houndsmusic.substack.com","https://houndsmusic.substack.com/","41","64","https://t.co/ISkurbutTq","sethabramson.substack.com","https://sethabramson.substack.com/","69","92","https://t.co/C61aEoBmYZ","retrostack.substack.com","https://retrostack.substack.com/","97","120","https://t.co/cwOaxezty7","sethabramson.net/bio","http://sethabramson.net/bio","0","23","https://t.co/nFWEuGNTKN","0","25","837956","18","true","3223426134","true","false","false","","7301","Seth Abramson","1863466072113836215","false","https://pbs.twimg.com/profile_images/1696613695307001859/lBx1swSz_normal.jpg","","85393","https://twitter.com/SethAbramson","user","https://x.com/SethAbramson","SethAbramson","OMG THAT’S NOT HOW ANY OF THIS WORKS

This is like a speech on broken McDonald’s ice cream machines by a microbe born on Io

If you think Elon or Trump understand anything about higher ed accreditation my only question to you would be: WTH, why? When do you think they learned it?","Tue Nov 12 01:21:34 +0000 2024","845","105089","216","78","13","170",,,,"1856114715694444856","false","1856145280153862419","false","true",
"true","false","https://pbs.twimg.com/profile_banners/3223426134/1729645880","Fri May 22 16:19:26 +0000 2015","Find me at: https://t.co/irDWUjJ8hz

Or: https://t.co/ISkurbutTq
Or: https://t.co/C61aEoBmYZ
Or: https://t.co/cwOaxezty7","sethabramson.bsky.social","http://sethabramson.bsky.social","12","35","https://t.co/irDWUjJ8hz","houndsmusic.substack.com","https://houndsmusic.substack.com/","41","64","https://t.co/ISkurbutTq","sethabramson.substack.com","https://sethabramson.substack.com/","69","92","https://t.co/C61aEoBmYZ","retrostack.substack.com","https://retrostack.substack.com/","97","120","https://t.co/cwOaxezty7","sethabramson.net/bio","http://sethabramson.net/bio","0","23","https://t.co/nFWEuGNTKN","0","25","837956","18","true","3223426134","true","false","false","","7301","Seth Abramson","1863466072113836215","false","https://pbs.twimg.com/profile_images/1696613695307001859/lBx1swSz_normal.jpg","","85393","https://twitter.com/SethAbramson","user","https://x.com/SethAbramson","SethAbramson","Soak it in, gamers. Many of you voted for this.

We told you over and over that the leopard would eat your face, and here Trump is, munching away happily. https://t.co/I3ZlpDe15o","Mon Nov 11 03:41:55 +0000 2024","4273","164551","1358","177","45","181",,,,,"false","1855818211649806518","false","false",
"true","false","https://pbs.twimg.com/profile_banners/3223426134/1729645880","Fri May 22 16:19:26 +0000 2015","Find me at: https://t.co/irDWUjJ8hz

Or: https://t.co/ISkurbutTq
Or: https://t.co/C61aEoBmYZ
Or: https://t.co/cwOaxezty7","sethabramson.bsky.social","http://sethabramson.bsky.social","12","35","https://t.co/irDWUjJ8hz","houndsmusic.substack.com","https://houndsmusic.substack.com/","41","64","https://t.co/ISkurbutTq","sethabramson.substack.com","https://sethabramson.substack.com/","69","92","https://t.co/C61aEoBmYZ","retrostack.substack.com","https://retrostack.substack.com/","97","120","https://t.co/cwOaxezty7","sethabramson.net/bio","http://sethabramson.net/bio","0","23","https://t.co/nFWEuGNTKN","0","25","837956","18","true","3223426134","true","false","false","","7301","Seth Abramson","1863466072113836215","false","https://pbs.twimg.com/profile_images/1696613695307001859/lBx1swSz_normal.jpg","","85393","https://twitter.com/SethAbramson","user","https://x.com/SethAbramson","SethAbramson","(📢) MAJOR BREAKING NEWS: Donald Trump is not even president yet, and he may soon be given the right to shut down any non-profit that angers him without even providing a reason for doing so.

Listen up: Democracy is going to collapse faster than you think. https://t.co/Eq3XHBw1uf","Mon Nov 11 00:57:04 +0000 2024","4728","191235","2469","204","75","458",,,,,"false","1855776722672623713","false","false",
"true","false","https://pbs.twimg.com/profile_banners/3223426134/1729645880","Fri May 22 16:19:26 +0000 2015","Find me at: https://t.co/irDWUjJ8hz

Or: https://t.co/ISkurbutTq
Or: https://t.co/C61aEoBmYZ
Or: https://t.co/cwOaxezty7","sethabramson.bsky.social","http://sethabramson.bsky.social","12","35","https://t.co/irDWUjJ8hz","houndsmusic.substack.com","https://houndsmusic.substack.com/","41","64","https://t.co/ISkurbutTq","sethabramson.substack.com","https://sethabramson.substack.com/","69","92","https://t.co/C61aEoBmYZ","retrostack.substack.com","https://retrostack.substack.com/","97","120","https://t.co/cwOaxezty7","sethabramson.net/bio","http://sethabramson.net/bio","0","23","https://t.co/nFWEuGNTKN","0","25","837956","18","true","3223426134","true","false","false","","7301","Seth Abramson","1863466072113836215","false","https://pbs.twimg.com/profile_images/1696613695307001859/lBx1swSz_normal.jpg","","85393","https://twitter.com/SethAbramson","user","https://x.com/SethAbramson","SethAbramson","The two most dangerous men in America, and possibly anywhere.

Musk and Trump are two of the nation's three co-presidents, and they have no intention of being held to the same rule of law as anyone else.

The Founding Fathers are rolling in their graves. https://t.co/YIqO61KC4i","Sun Nov 10 23:51:56 +0000 2024","4159","163996","1761","196","46","283","https://pbs.twimg.com/amplify_video_thumb/1855362342701129728/img/R5YX5xM8Ii9qQktw.jpg",,,,"false","1855760332666319079","false","false",
"true","false","https://pbs.twimg.com/profile_banners/3223426134/1729645880","Fri May 22 16:19:26 +0000 2015","Find me at: https://t.co/irDWUjJ8hz

Or: https://t.co/ISkurbutTq
Or: https://t.co/C61aEoBmYZ
Or: https://t.co/cwOaxezty7","sethabramson.bsky.social","http://sethabramson.bsky.social","12","35","https://t.co/irDWUjJ8hz","houndsmusic.substack.com","https://houndsmusic.substack.com/","41","64","https://t.co/ISkurbutTq","sethabramson.substack.com","https://sethabramson.substack.com/","69","92","https://t.co/C61aEoBmYZ","retrostack.substack.com","https://retrostack.substack.com/","97","120","https://t.co/cwOaxezty7","sethabramson.net/bio","http://sethabramson.net/bio","0","23","https://t.co/nFWEuGNTKN","0","25","837956","18","true","3223426134","true","false","false","","7301","Seth Abramson","1863466072113836215","false","https://pbs.twimg.com/profile_images/1696613695307001859/lBx1swSz_normal.jpg","","85393","https://twitter.com/SethAbramson","user","https://x.com/SethAbramson","SethAbramson","@cheryljune Whatever fantasy you live in you obviously should continue to live in, so you can decide that a 52-48 Senate is a bloodbath, that (say) a 220-215 House is a bloodbath, that Trump regaining 3 states he narrowly lost in 2020 and winning the Blue Wall by a 128K swing is a bloodbath.","Sun Nov 10 17:46:33 +0000 2024","412","14681","32","44","2","18",,,,,"true","1855668380268683717","false","false","18694891"
"true","false","https://pbs.twimg.com/profile_banners/3223426134/1729645880","Fri May 22 16:19:26 +0000 2015","Find me at: https://t.co/irDWUjJ8hz

Or: https://t.co/ISkurbutTq
Or: https://t.co/C61aEoBmYZ
Or: https://t.co/cwOaxezty7","sethabramson.bsky.social","http://sethabramson.bsky.social","12","35","https://t.co/irDWUjJ8hz","houndsmusic.substack.com","https://houndsmusic.substack.com/","41","64","https://t.co/ISkurbutTq","sethabramson.substack.com","https://sethabramson.substack.com/","69","92","https://t.co/C61aEoBmYZ","retrostack.substack.com","https://retrostack.substack.com/","97","120","https://t.co/cwOaxezty7","sethabramson.net/bio","http://sethabramson.net/bio","0","23","https://t.co/nFWEuGNTKN","0","25","837956","18","true","3223426134","true","false","false","","7301","Seth Abramson","1863466072113836215","false","https://pbs.twimg.com/profile_images/1696613695307001859/lBx1swSz_normal.jpg","","85393","https://twitter.com/SethAbramson","user","https://x.com/SethAbramson","SethAbramson","Obviously we know Trump can be bribed. The whole world knows.

And he did a good job of taking bribes this year, with $600M donated to him from just 15 people whose taxes he promised to cut even if it hurt America.

He also promised Musk a co-presidency for a few hundred million.","Sun Nov 10 17:42:01 +0000 2024","1008","40361","256","33","4","44",,,,,"true","1855667240080646414","false","false","3223426134"
