author/fastFollowersCount,favourites_count,followers_count,author/following,name,uid,listed_count,author/userName,content,createdb,favoritecount,viewCount,retweetcount,replycount,quoteCount,bookmarkCount,media,avatar,init_att
0,42190,1842,522,Lynn Via,1511032920286265344,33674,LynnVia7,@kylenabecker I see some guy at the table behind Trump making Bullwinkle Ears - total photo bomb 😂,2024/11/30 23:29:53,0,11.0,0,0,0,0,,https://pbs.twimg.com/profile_banners/1511032920286265344/1665129251,0.2
0,26689,10233,11006,True Conservative ✝️🇺🇸,164573046,32442,Always_Trump24,@kylenabecker @nypost @GovKathyHochul She’s the devils spawn! https://t.co/8TAvjffRVj,2024/11/30 23:21:57,2,54.0,0,0,0,0,https://pbs.twimg.com/tweet_video_thumb/Gdq1HiyWEAAQryX.jpg,https://pbs.twimg.com/profile_banners/164573046/1720927340,0.0
0,527,24,143,Pam Coath,1518753260043128833,216,PamCoath,@kylenabecker No Trump family members at the table.,2024/11/30 23:17:37,0,9.0,0,0,0,0,,,0.0
0,4692,1233,358,Crypto 50+,1833138515254693890,26496,Crypto50plus,@kylenabecker @JDVance Trump warned them all.,2024/11/30 23:07:14,2,35.0,0,0,0,0,,https://pbs.twimg.com/profile_banners/1833138515254693890/1725889828,0.0
0,218,148,110,William scheppy,3357128081,23682,scheppy_william,@kylenabecker Bill Clinton A Million Times Better President Then Trump Will Ever Be,2024/11/30 23:04:50,0,4.0,0,0,0,0,,,0.5
0,372,859,108,Prem,1590430967050674179,17213,PremMalabari14,"@kylenabecker @JDVance Not only Jack Smith but all the other players -- including  Fani Willis, Letitia James, Bragg and the anti-Trump judges -- need to be punished to the fullest extent of the law!",2024/11/30 23:01:44,27,455.0,4,2,0,0,,,0.078125
0,38294,1263,1269,j avi 𝕏,704411685369450500,21092,JAviQt1,@kylenabecker Trump isn’t for the weak.,2024/11/30 22:49:05,0,5.0,0,0,0,0,,https://pbs.twimg.com/profile_banners/704411685369450500/1733211948,0.375
0,11400,938,1172,Ultra MAGA Carl Bertolli TRUMP IS YOUR PRESIDENT,1600484740611579905,30782,MrCBertolli,@kylenabecker Making America great before you even gets into office,2024/11/30 22:31:03,0,,0,0,0,0,,https://pbs.twimg.com/profile_banners/1600484740611579905/1689469529,0.8
0,17,99,181,R. T. Winright,1801591652407980032,364,RTWin_USA,@kylenabecker @elonmusk @realDonaldTrump Ooooh the Boogey-man Musk is out to get you! You CNN hacks and Leftist losers are losing your mind. Have you ever thought that perhaps Trump has a lot of work to do in bringing back our country from the devastating last 4 years! It’s going to take only the best in our government!,2024/11/30 22:27:13,0,7.0,0,0,0,0,,https://pbs.twimg.com/profile_banners/1801591652407980032/1718374613,0.0357142857142857
0,15460,169,74,Rover111444,1831476859198173188,4393,rover1114421816,"@kylenabecker Well Well, they are understanding the laws finally. Thanks Trump",2024/11/30 22:25:57,0,4.0,0,0,0,0,,,0.2
0,10081,403,170,MTrucksa,1658287637503909889,14554,MTrucksa,"@kylenabecker do you see the kid in back a few tables away from Trump, he's got his hands up to his head showing moose antlers!",2024/11/30 21:58:36,1,144.0,0,0,0,0,,,0.125
0,34940,7081,7109,Jimmy Mack (Meshugenah) Shmoo,204385630,76764,michiganbuilt,"@kylenabecker @JDVance In as much as the 2020 presidential election pissed me off, I'm extremely grateful (understatement) we get Trump these next four years. God only knows who or what we would be against now. I'm praying and rooting for @JDVance for 2028. He's our man, hands down.",2024/11/30 21:55:23,1,36.0,0,0,0,0,,https://pbs.twimg.com/profile_banners/204385630/1521428623,0.0161111111111111
0,70352,1250,2392,seaurchin,1651524231258046464,84726,seaurch25465826,"@kylenabecker (Love Martha Raddatz croaking at the audience to ""hold the applause"" for Trump! 
His balls in this clip are super-impressive.)",2024/11/30 21:53:14,0,23.0,0,0,0,0,,https://pbs.twimg.com/profile_banners/1651524231258046464/1722590693,0.625
0,133056,8546,2980,Ellie A,1351798714642231297,50946,EllieGAnders,"@kylenabecker Did she protest when Obama deported 3.2 million? Or does she only protest when Trump does it?
Rhetorical question.",2024/11/30 21:48:26,101,1428.0,9,3,0,1,,https://pbs.twimg.com/profile_banners/1351798714642231297/1724466555,0.0
0,64430,1233,1182,Ben Gazeer,1097604723404886016,95394,BGazeer,@kylenabecker @JDVance Because Trump should be permitted to give US military secrets to Putin to repay his debt. https://t.co/DacqiWYDeL,2024/11/30 21:46:03,0,12.0,0,0,0,0,https://pbs.twimg.com/media/GdqfKqyXgAAmTf8.jpg,https://pbs.twimg.com/profile_banners/1097604723404886016/1709619866,0.1
0,15731,236,111,Linda Newey,923600494056148992,3175,Narnia119,@kylenabecker That is not Trump.,2024/11/30 21:43:35,0,7.0,0,0,0,0,,https://pbs.twimg.com/profile_banners/923600494056148992/1578352257,0.0
0,398294,628451,2795,Kyle Becker,321954654,121799,kylenabecker,"@julieroginsky Trump and Homan plan to start deporting CRIMINAL illegal aliens (personally, I think that's an oxymoron).

Why doesn't she bring that up in her contrived sob story?",2024/11/30 21:38:26,184,7199.0,12,6,0,1,,https://pbs.twimg.com/profile_banners/321954654/1668045045,0.35
0,6996,571,336,Mark Harold Briggs,1824612830621872129,9895,HaroldMark19672,@kylenabecker @JDVance They delayed and allowed delays so Trump would be in court while running.   How did that work out?,2024/11/30 21:34:44,1,26.0,0,0,0,0,,https://pbs.twimg.com/profile_banners/1824612830621872129/1724133413,0.0
0,1020,568,720,Tech Hub,1794798158205136896,619,TechHubbb,@kylenabecker @JDVance If Donald Trump lost they'd surely have him in prison for the rest of his life. Next would have been Elon and after that it would be the biggest MAGA influencers one by one until the rest of us shut up or went ourselves. We were really at the edge of the cliff looking over.,2024/11/30 21:31:27,0,12.0,0,0,0,0,,,0.2333333333333333
