author/fastFollowersCount,favourites_count,followers_count,author/following,name,uid,listed_count,author/userName,content,createdb,favoritecount,viewCount,retweetcount,replycount,quoteCount,bookmarkCount,media,place,avatar,Pi,Ei,Ni,PZ,DG,NCI,infu
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,Legal Hispanic Immigrants came to America to get away from the criminals Biden is letting across the border for free!  No wonder they voted for Trump!,2024/11/30 14:34,572260,13360526,94480,58025,6240,21310,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,98,96,19,57,89,30,5
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,"The data is saying illegal immigration swung undecided voters to Trump.  And of course the ultimate irony is, most of them were legal Hipanics!  No one hates illegal immigration more than those who played by the rules!",2024/11/30 14:28,572091,13355560,94431,58017,6239,21308,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,59,38,70,48,40,91,84
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,"Yes it is incredible she got that many votes. Honestly, I don't think she really did. I just think Trump turned out too many voters for them to overcome with Lara Trump watching.",2024/11/30 5:55,571930,13352945,94393,58009,6239,21307,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,70,92,64,51,61,41,31
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,Congress could take the next 4 years off and Trump could spend his whole presidency just making laws we already have work and he would be wildly successful.,2024/11/29 22:33,571839,13347921,94374,57988,6238,21304,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,3,96,51,43,80,26,71
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,Did you know that Patton died 6 months before Trump was born.  Yeah spooky. https://t.co/L8SvfHwLCu,2024/11/29 22:29,571450,13342219,94298,57967,6234,21303,https://pbs.twimg.com/media/GdlffGXXgAAFWIm.jpg,,https://pbs.twimg.com/profile_banners/17980523/1723738910,63,45,34,84,23,93,27
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,Trump can totally fix the border crisis with executive orders. He needs Congress to fund the wall but the wall is the LEAST important thing.  We need to turn off the demand and the supply will stop.,2024/11/29 22:25,571382,13336929,94263,57960,6234,21298,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,12,15,83,57,61,54,11
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,Hey if Zuckerberg wants to join Team MAGA and make Facebook Trump-friendly again I'm all for it.  Can never have enough powerful multibillionaires on your team.  At least he is smart enough to recognize the horse he was riding had a bum leg.,2024/11/29 18:13,571325,13332916,94247,57950,6233,21298,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,12,38,49,68,21,51,35
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,"Putin says Trump is smart and experienced, capable of ending the war. He also fears for Trump's safety due to assassination attempts, comparing U.S. politics to Russian gangster tactics.

https://t.co/xFAdaH2y1B",2024/11/29 16:23,571177,13322635,94210,57906,6231,21298,https://pbs.twimg.com/amplify_video_thumb/1862520837082898432/img/XmbR3eSA9wxgJ_Vx.jpg,,https://pbs.twimg.com/profile_banners/17980523/1723738910,97,40,10,10,66,58,75
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,"A new poll says Trump is one of our sexiest presidents.  Ladies, what is it about President Trump that makes him sexy?  The rest of us men would like to know. ??",2024/11/29 16:07,571076,13319491,94184,57901,6231,21297,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,54,44,74,7,49,43,73
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,A new poll says Donald Trump is the 3rd sexiet president of all time right behind JFK and Obama.  Do you think Trump is sexier than Obama?,2024/11/29 16:06,570704,13292267,94157,57633,6220,21284,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,95,1,27,55,34,16,19
