author/fastFollowersCount,favourites_count,followers_count,author/following,name,uid,listed_count,author/userName,content,createdb,favoritecount,viewCount,retweetcount,replycount,quoteCount,bookmarkCount,media,place,avatar,Pi,Ei,Ni,PZ,DG,NCI,info
0,96855,206754053,861,Elon Musk,44196397,61197,elonmusk,"More than half of American voters voted for Trump. He won the popular vote by a decisive margin!

Cutting someone off just because they voted for the other candidate is close-minded and just plain mean.",2024/11/22 16:49,2387862,328825975,378024,121272,16240,59745,,,https://pbs.twimg.com/profile_banners/44196397/1726163678,12,15,83,57,61,54,11
0,96855,206754053,861,Elon Musk,44196397,61197,elonmusk,@amuse Several friends of mine who publicly supported Trump now have many members of their family who won��t talk to them anymore! It��s crazy.,2024/11/21 14:12,2197222,299361608,352105,102005,14419,55848,,,https://pbs.twimg.com/profile_banners/44196397/1726163678,12,38,49,68,21,51,35
0,96855,206754053,861,Elon Musk,44196397,61197,elonmusk,@Jessica_4_Trump Dave,2024/11/18 2:41,2193900,298931998,351808,101459,14346,55783,,,https://pbs.twimg.com/profile_banners/44196397/1726163678,97,40,10,10,66,58,75
0,96855,206754053,861,Elon Musk,44196397,61197,elonmusk,"@TRUMP_ARMY_ Yes, as he will drive change",2024/11/17 18:41,2191469,298790390,351568,101172,14280,55728,,,https://pbs.twimg.com/profile_banners/44196397/1726163678,54,44,74,7,49,43,73
0,96855,206754053,861,Elon Musk,44196397,61197,elonmusk,Lara Trump is genuinely great,2024/11/12 22:58,2189629,298739641,351380,101021,14276,55711,,,https://pbs.twimg.com/profile_banners/44196397/1726163678,95,1,27,55,34,16,19
0,96855,206754053,861,Elon Musk,44196397,61197,elonmusk,"@RichardDawkins I very much disagree with your assessment of Trump. He has been the subject of extreme media propaganda. 

He won the hearts and minds of the American people for good reasons.",2024/11/12 21:13,2007934,267499153,328071,95232,13544,53929,,,https://pbs.twimg.com/profile_banners/44196397/1726163678,73,90,100,49,18,8,61
0,96855,206754053,861,Elon Musk,44196397,61197,elonmusk,@MxHedroom @GadSaad Trump broke his brain,2024/11/12 6:08,1981251,266981776,325450,93814,13394,53403,,,https://pbs.twimg.com/profile_banners/44196397/1726163678,0,99,78,0,75,5,88
0,96855,206754053,861,Elon Musk,44196397,61197,elonmusk,@CollinRugg That��s what happens when teachers lie to kids. Trump has been clear that he will veto a national abortion ban.,2024/11/10 0:56,1980329,266946800,325403,93756,13386,53382,,,https://pbs.twimg.com/profile_banners/44196397/1726163678,81,75,93,41,18,36,29
0,96855,206754053,861,Elon Musk,44196397,61197,elonmusk,@amuse There were an encouraging number of Trump/Vance signs around Austin,2024/11/9 6:57,1967936,266744364,324222,93321,13365,53218,,,https://pbs.twimg.com/profile_banners/44196397/1726163678,89,81,2,74,82,1,30
0,96855,206754053,861,Elon Musk,44196397,61197,elonmusk,"@Travis_4_Trump Yeah, they lost their minds when a single bus load of illegals was sent there, but have no empathy at all for small towns in the Midwest that are deluged with tens of thousands of illegals",2024/11/8 14:54,1966687,266701955,324132,93237,13360,53195,,,https://pbs.twimg.com/profile_banners/44196397/1726163678,91,47,67,38,61,24,12
