"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
"true","false","https://pbs.twimg.com/profile_banners/2418182917/1504776721","Sun Mar 30 00:23:13 +0000 2014","lurks around the web. 
🐸@GetOnGAB🐸 - @Toad_Head",,,,,,,,,,,,,,,,"0","57105","338","461","true","2418182917","false","false","false","🐸GAB🐸","20995","🐸Chris R. 🐸",,"false","https://pbs.twimg.com/profile_images/1318118480307257344/jJI4Rr_4_normal.jpg","","49041","https://twitter.com/Coffee_2222","user","https://x.com/Coffee_2222","Coffee_2222","Election Meddling Has Officially Begun https://t.co/OQWpyExlJN via @YouTube","Mon Oct 29 23:41:18 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/439439615/1530033604","Sat Dec 17 19:49:09 +0000 2011","",,,,,,,,,,,,,,,,"0","17431","1765","5264","true","439439615","false","false","false","","805","L a",,"false","https://pbs.twimg.com/profile_images/1011660484343422978/MNMqBy-N_normal.jpg","","206698","https://twitter.com/LatinoAgenda1","user","https://x.com/LatinoAgenda1","LatinoAgenda1","@DailyMail @piersmorgan Quit trying to influence a US election stop meddling in our election foreigner and foreign nation meddling","Mon Oct 29 23:32:03 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/44150150/1460205300","Tue Jun 02 16:27:16 +0000 2009","Please support my music-making https://t.co/3WYFRW5ZJR - #piano #improv #composer #singersongwriter - also muz4now on Mastodon & BlueSky - join me there!","mprv.co/sspatron","http://mprv.co/sspatron","31","54","https://t.co/3WYFRW5ZJR",,,,,,"muz4now.com","http://muz4now.com/","0","23","https://t.co/TXLbIXAqPz","0","11","196384","149400","true","44150150","true","false","false","Ithaca, NY","74168","Stan Stewart 🎶🎹🎵🔊🎤🎼🎧🪘🪕🎻🪗","1857764545697079325","false","https://pbs.twimg.com/profile_images/1613155235387801600/t_mHo37H_normal.jpg","","296180","https://twitter.com/muz4now","user","https://x.com/muz4now","muz4now","The First Rule of Lawfare: Is Google’s Active Measures Campaign on Article 13 a Trial Run for Election Meddling by a US Non-State Actor? https://t.co/EQJ0urbewc https://t.co/ZGsXi7Rg2n","Mon Oct 29 23:28:45 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/795996330921431040/1669484139","Tue Nov 08 14:28:09 +0000 2016","Human being who loves, has always loved and will always love Truth and truthful human beings, especially Tloklil Etunk  :   )",,,,,,,,,,,,,,,,"0","70227","573","61","true","795996330921431040","false","false","false","","43960","vesna talan","1629870640038805504","false","https://pbs.twimg.com/profile_images/1452841375544668160/wubOZyC1_normal.jpg","","90287","https://twitter.com/VesnaTalan","user","https://x.com/VesnaTalan","VesnaTalan","Election Meddling Has Officially Begun https://t.co/on1aW7QctN via @YouTube","Mon Oct 29 23:10:54 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/1020716396504862721/1721043896","Sat Jul 21 17:05:27 +0000 2018","The scent of burning liberal hopes on the morning breeze.
I'm lovin' it",,,,,,,,,,,,,,,,"0","61463","772","1296","false","1020716396504862721","false","false","false","Kobaltana.","2767","Sablicorne",,"false","https://pbs.twimg.com/profile_images/1236590547990609920/NEUNNKTs_normal.png","","23707","https://twitter.com/Sablicorne1","user","https://x.com/Sablicorne1","Sablicorne1","Every. Damn. Time... #TrumpTrain #WalkAway: Election Meddling Has Officially Begun https://t.co/UOsRL5lTw4 via @YouTube","Mon Oct 29 23:02:28 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/973011261871988736/1520820687","Mon Mar 12 01:42:17 +0000 2018","Follow me to see daily interviews of interesting people!",,,,,,,,,,,"news.infernalscoop.com","https://news.infernalscoop.com","0","23","https://t.co/ppnZgeMhgf","0","0","2211","5","false","973011261871988736","false","false","false","","0","Ama Interviews",,"false","https://pbs.twimg.com/profile_images/973018672959664130/wBa4KhLR_normal.jpg","","2033","https://twitter.com/interviews_ama","user","https://x.com/interviews_ama","interviews_ama","I'm Alexey Kovalev, an investigative reporter from Russia. I'm here to answer your questions about being a journalist in Russia, election meddling, troll farms, and other fun stuff. #people #ama #amazing #interviews https://t.co/ORTEmRnn3l","Mon Oct 29 23:01:19 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/18643437/1592650447","Mon Jan 05 20:04:23 +0000 2009","""Watson is a brilliant polemicist."" The Spectator.....”Popular cutting edge political commentator.” The Jewish Voice https://t.co/rZCVlVSOYm","pauljosephwatson.locals.com","http://pauljosephwatson.locals.com","117","140","https://t.co/rZCVlVSOYm",,,,,,"modernity.news","https://modernity.news","0","23","https://t.co/OtzqP7uz6i","0","10632","1398219","991","true","18643437","true","false","false","England","16707","Paul Joseph Watson","1862564752901169254","false","https://pbs.twimg.com/profile_images/1549055398845595649/ugdbfO-7_normal.jpg","","92090","https://twitter.com/PrisonPlanet","user","https://x.com/PrisonPlanet","PrisonPlanet","This is real election meddling. What happened to the executive order? https://t.co/oBmOkAyXml","Mon Oct 29 22:57:28 +0000 2018"
"true","false","https://pbs.twimg.com/profile_banners/1020772228940664838/1720918444","Sat Jul 21 20:47:19 +0000 2018","USMC Veteran 
Retired Engineer
Resident Meme Maker for OZBert 
I have an Award Winning Resting Bastard Face.",,,,,,,,,,,,,,,,"0","36240","1915","1630","true","1020772228940664838","false","false","false","United States","5609","🪖Impenitent2A",,"false","https://pbs.twimg.com/profile_images/1664906294153601026/5igFBhlD_normal.jpg","","41586","https://twitter.com/Impenitent2A","user","https://x.com/Impenitent2A","Impenitent2A","@WNEP Yet @TWITTER, the platform of coutless terrorist, murderers, rapist, pedophiles goes unscathed.  So a Conservative starts a platform and it ONE and done.  This is mid-term election meddling pure and simple.","Mon Oct 29 22:54:33 +0000 2018"
"false","true",,"Sun Oct 28 03:47:25 +0000 2018","",,,,,,,,,,,,,,,,"0","66","12","71","false","1056391961861636096","false","false","false","","19","MaddHogg42076",,"false","https://pbs.twimg.com/profile_images/1056392305899458561/hJ5Sx_0Z_normal.jpg","","129","https://twitter.com/watchdog42076","user","https://x.com/watchdog42076","watchdog42076","#SorosForGitmo because of war crimes and election meddling","Mon Oct 29 22:44:41 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/2267598355/1521916706","Sun Dec 29 16:15:27 +0000 2013","Sometimes I have good ideas. Most of the time I do not. Politics, Pop Culture, and Performance Cars. Southerner out West.",,,,,,,,,,,,,,,,"0","142008","3853","1982","true","2267598355","true","false","false","UT, USA","13392","Matthew D. Dempster","790397999260106752","false","https://pbs.twimg.com/profile_images/1691556273756704768/jdoggaiv_normal.jpg","","236897","https://twitter.com/dempstermd","user","https://x.com/dempstermd","dempstermd","When’s CNN gonna come clean about meddling in the 2016 election for the benefit of the Democrats. Just because y’all lost (which’s why y’all’s so PO’d) doesn’t mean it doesn’t matter that you did it.","Mon Oct 29 22:40:13 +0000 2018"
