"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/description/urls/2/display_url","author/entities/description/urls/2/expanded_url","author/entities/description/urls/2/indices/0","author/entities/description/urls/2/indices/1","author/entities/description/urls/2/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
"false","true","https://pbs.twimg.com/profile_banners/3548846175/1443873807","Fri Sep 04 21:57:54 +0000 2015","We track all social networks to bring you the most viral stories, videos and photos.  Discover what the world is talking about at https://t.co/D45nbGztHo!","viralizeed.com","http://viralizeed.com","130","153","https://t.co/D45nbGztHo",,,,,,,,,,,"viralizeed.com","http://www.viralizeed.com","0","23","https://t.co/6V493qfJFw","0","119","2011","1372","true","3548846175","false","false","false","","8748","Viralizeed",,"false","https://pbs.twimg.com/profile_images/729058621779279872/hXF2eudi_normal.jpg","","135198","https://twitter.com/viralizeed","user","https://x.com/viralizeed","viralizeed","Most #viral News Now: Another prominent lawyer declines offer to represent Trump in Russia investigation https://t.co/91Pbp0u59P","Mon Mar 26 23:59:16 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/2361623269/1608127139","Tue Feb 25 20:32:38 +0000 2014","""We the people, are the boss, and we will get the kind of political leadership, be it good or bad, that we demand and deserve."" JFK",,,,,,,,,,,,,,,,,,,,,"0","103546","7510","6795","true","2361623269","false","false","false","USA","37202","Constitution Sue",,"false","https://pbs.twimg.com/profile_images/877656482942246913/zP-D1Nof_normal.jpg","","342479","https://twitter.com/constitutionsue","user","https://x.com/constitutionsue","constitutionsue","Trump’s new national security adviser John Bolton is already entangled in the Russia investigation https://t.co/iMS3jqYh4i via @msnbc","Mon Mar 26 23:56:47 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/845071760831713280/1631813650","Fri Mar 24 00:36:23 +0000 2017","I've been reading Common Sense by Thomas Paine, so men think that I'm intense or I'm insane.",,,,,,,,,,,,,,,,,,,,,"0","100","1308","2723","false","845071760831713280","false","false","false","New York, NY","6","Angelica Schuyler","1108437170145189889","false","https://pbs.twimg.com/profile_images/1108077930213715969/J-ZTPu-R_normal.jpg","","242247","https://twitter.com/Angelica__Work","user","https://x.com/Angelica__Work","Angelica__Work","Another prominent lawyer declines offer to represent Trump in Russia investigation https://t.co/5ESy9DPVkV","Mon Mar 26 23:54:14 +0000 2018"
"false","true",,"Mon Oct 11 02:56:57 +0000 2010","",,,,,,,,,,,,,,,,,,,,,"0","0","4","3","false","201109309","false","false","false","","318","Rocco Maniscalco",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","11258","https://twitter.com/RoccoManis","user","https://x.com/RoccoManis","RoccoManis","Jimmy Carter Says Don’t Impeach Trump Even If Mueller Finds Dirt on President in Russia Investigation https://t.co/KwGQ0JFgtw","Mon Mar 26 23:54:01 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/1560472910/1618410450","Mon Jul 01 12:48:47 +0000 2013","🇺🇸🏳️‍🌈🇺🇦 🟦🌊Retired, ChildFree, ProChoice, occasionally good photographer, profanity given and taken. #JoeBiden #voteblue",,,,,,,,,,,,,,,,,,,,,"0","38474","1386","2915","true","1560472910","false","false","false","Fredericksburg, VA","89","Bobby Shinod",,"false","https://pbs.twimg.com/profile_images/1382338575086329860/xk2nvkMF_normal.jpg","","84605","https://twitter.com/bobby_shinod","user","https://x.com/bobby_shinod","bobby_shinod","Another prominent lawyer declines offer to represent Trump in Russia investigation https://t.co/CazysAeFcp","Mon Mar 26 23:47:26 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/242949415/1456144451","Tue Jan 25 23:46:09 +0000 2011","Reality? What a concept?! ¤ I reject all realities, including my own ¤ Ankylosing #Spondylitis ¤ #AxialSpA Same name on Mast0don",,,,,,,,,,,,,,,,"lividspondy.com","http://lividspondy.com","0","23","https://t.co/kaw9DCwFdv","0","5987","736","1188","true","242949415","false","false","false","Pax Dystopiana (UK)","504","Macros The Black 💙",,"false","https://pbs.twimg.com/profile_images/1590031261732585472/cYQNzeLy_normal.jpg","","26081","https://twitter.com/MacrosTh3Black","user","https://x.com/MacrosTh3Black","MacrosTh3Black","Jimmy Carter Says Don’t Impeach Trump Even If Mueller Finds Dirt on President in Russia Investigation - Newsweek https://t.co/LzGE77mRcS","Mon Mar 26 23:47:03 +0000 2018"
"true","false","https://pbs.twimg.com/profile_banners/1432783669/1722825174","Thu May 16 10:54:45 +0000 2013","❤️ Family, animals, travel (even though I don’t get to) 🇵🇷. Mom of a future public servant. Dog mom 🐶 🚫 DM’s/Lists #VoteBlue @freestyle-mama.bsky.social",,,,,,,,,,,,,,,,,,,,,"0","43754","1220","2301","true","1432783669","false","false","false","United States","2209","Luz~🔆","1856008318109802739","false","https://pbs.twimg.com/profile_images/1743122488991612928/GU85T9nW_normal.jpg","","36008","https://twitter.com/Freestyle_mama","user","https://x.com/Freestyle_mama","Freestyle_mama","Another prominent attorney declines offer to represent Trump in Russia investigation - The Washington Post https://t.co/98PvSCii27","Mon Mar 26 23:46:24 +0000 2018"
"false","true",,"Fri Dec 08 14:44:23 +0000 2017","We provide you with the latest breaking political news and videos straight from around the world.",,,,,,,,,,,,,,,,"Politics.Today","http://Politics.Today","0","23","https://t.co/iUN4eGAk2M","0","0","20","13","false","939143627133128704","false","false","false","New York, USA","20448","Politics Today",,"false","https://pbs.twimg.com/profile_images/939635289944936448/iYY4l8tp_normal.jpg","","30981","https://twitter.com/InPoliticsToday","user","https://x.com/InPoliticsToday","InPoliticsToday","Another prominent lawyer declines offer to represent Trump in Russia investigation on Politics Today - https://t.co/XKuQwqie9u","Mon Mar 26 23:44:54 +0000 2018"
"false","true",,"Mon Jan 29 20:46:35 +0000 2018","#FilAm #FilipinoAmazing #FilipinoAmerican #FilipinaAmerican #Filipinx #Immigrant #Resist #BrownLivesMatter #StopAAPIhate #StopAsianHate",,,,,,,,,,,,,,,,"filam.one","http://filam.one","0","23","https://t.co/5k9SGT5jPW","0","40","437","475","false","958078945223520256","false","false","false","California, USA","5212","FIL AM🇵🇭🇺🇸",,"false","https://pbs.twimg.com/profile_images/1223073778340515840/yQMRCsb0_normal.jpg","","8883","https://twitter.com/FILAM_one","user","https://x.com/FILAM_one","FILAM_one","This is why Trump is having trouble hiring a lawyer for the Russia investigation https://t.co/fwk84s0Eit https://t.co/4Li8htoraV","Mon Mar 26 23:43:06 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/64083835/1365386838","Sun Aug 09 01:34:49 +0000 2009","Latin American Herald Tribune -- Accurate and informed news and comment from South America and the Caribbean.  It's a big continent - Someone has to cover it.",,,,,,,,,,,,,,,,"LAHT.com","http://www.LAHT.com","0","22","http://t.co/5WWkZ9MEZR","0","5275","57742","96225","true","64083835","false","false","false","America Latina","5443","LatAm Herald Tribune","1362067223549005828","false","https://pbs.twimg.com/profile_images/353455313/logo_laht_normal.jpg","","278432","https://twitter.com/LAHT","user","https://x.com/LAHT","LAHT","Trump: Many Lawyers Want to Help Me in Russia Probe Investigation https://t.co/eLrRO6LYF0","Mon Mar 26 23:43:02 +0000 2018"
